"Phytophthora","Host","Level.2","Level.1","Total","PxH.in.Scotland"
"P. cinnamomi","Bauera","Australia","Australasia",3,NA
"P. cinnamomi","Bauera","New Zealand","Australasia",4,NA
"P. cinnamomi","Beilschmiedia","New Zealand","Australasia",1,NA
"P. cinnamomi","Berberidopsis","Australia","Australasia",2,NA
"P. cinnamomi","Berberis","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Berzelia","Australia","Australasia",2,NA
"P. cinnamomi","Berzelia","Southern Africa","Africa",2,NA
"P. cinnamomi","Betula","0","Northern America",4,NA
"P. cinnamomi","Betula","Australia","Australasia",8,NA
"P. cinnamomi","Betula","New Zealand","Australasia",5,NA
"P. cinnamomi","Betula","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Billardiera","Australia","Australasia",1,NA
"P. cinnamomi","Blandfordia","Australia","Australasia",3,NA
"P. cinnamomi","Boronia","Australia","Australasia",21,NA
"P. cinnamomi","Boronia","New Zealand","Australasia",4,NA
"P. cinnamomi","Boronia","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Bossiaea","Australia","Australasia",5,NA
"P. cinnamomi","Brabejum","Southern Africa","Africa",4,NA
"P. cinnamomi","Brunonia","Australia","Australasia",2,NA
"P. cinnamomi","Buxus","0","Northern America",3,NA
"P. cinnamomi","Buxus","Southeastern U.S.A.","Northern America",4,NA
"P. cinnamomi","Cajanus","0","Northern America",1,NA
"P. cinnamomi","Cajanus","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Caladenia","Australia","Australasia",1,NA
"P. cinnamomi","Caleana","Australia","Australasia",2,NA
"P. cinnamomi","Callitris","Australia","Australasia",2,NA
"P. cinnamomi","Callitris","New Zealand","Australasia",2,NA
"P. cinnamomi","Calluna","Australia","Australasia",2,"Yes"
"P. cinnamomi","Calluna","Middle Europe","Europe",5,"Yes"
"P. cinnamomi","Calluna","New Zealand","Australasia",4,"Yes"
"P. cinnamomi","Calluna","Northwestern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Calluna","Southeastern Europe","Europe",3,"Yes"
"P. cinnamomi","Calocedrus","0","Northern America",3,NA
"P. cinnamomi","Calocedrus","Southwestern U.S.A.","Northern America",3,NA
"P. cinnamomi","Calytrix","Australia","Australasia",3,NA
"P. cinnamomi","Calytrix","New Zealand","Australasia",4,NA
"P. cinnamomi","Camelia","0","Northern America",1,NA
"P. cinnamomi","Camelia","Middle Europe","Europe",1,NA
"P. cinnamomi","Camellia","0","Northern America",7,NA
"P. cinnamomi","Camellia","Australia","Australasia",5,NA
"P. cinnamomi","Camellia","China","Asia-Temperate",2,NA
"P. cinnamomi","Camellia","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Camellia","Middle Europe","Europe",2,NA
"P. cinnamomi","Camellia","New Zealand","Australasia",4,NA
"P. cinnamomi","Camellia","Southeastern U.S.A.","Northern America",12,NA
"P. cinnamomi","Camellia","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Camellia","Southwestern U.S.A.","Northern America",6,NA
"P. cinnamomi","Carex","Australia","Australasia",1,NA
"P. cinnamomi","Carex","New Zealand","Australasia",1,NA
"P. cinnamomi","Carica","Australia","Australasia",2,NA
"P. cinnamomi","Carica","Western South America","Southern America",2,NA
"P. cinnamomi","Carpodetus","New Zealand","Australasia",4,NA
"P. cinnamomi","Carya","Australia","Australasia",1,NA
"P. cinnamomi","Carya","China","Asia-Temperate",1,NA
"P. cinnamomi","Carya","New Zealand","Australasia",3,NA
"P. cinnamomi","Cassinia","Australia","Australasia",3,NA
"P. cinnamomi","Cassiope","Northern Europe","Europe",1,NA
"P. cinnamomi","Castanea","0","Northern America",21,"Yes"
"P. cinnamomi","Castanea","Australia","Australasia",39,"Yes"
"P. cinnamomi","Castanea","China","Asia-Temperate",3,"Yes"
"P. cinnamomi","Castanea","Middle Europe","Europe",2,"Yes"
"P. cinnamomi","Castanea","New Zealand","Australasia",7,"Yes"
"P. cinnamomi","Castanea","North-Central U.S.A.","Northern America",4,"Yes"
"P. cinnamomi","Castanea","Northeastern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Castanea","Southeastern Europe","Europe",10,"Yes"
"P. cinnamomi","Castanea","Southeastern U.S.A.","Northern America",7,"Yes"
"P. cinnamomi","Castanea","Southern Africa","Africa",4,"Yes"
"P. cinnamomi","Castanea","Southern South America","Southern America",4,"Yes"
"P. cinnamomi","Castanea","Southwestern Europe","Europe",113,"Yes"
"P. cinnamomi","Castanea","Southwestern U.S.A.","Northern America",2,"Yes"
"P. cinnamomi","Castanea","Western Asia","Asia-Temperate",12,"Yes"
"P. cinnamomi","Castanopsis","Eastern Asia","Asia-Temperate",12,NA
"P. cinnamomi","Castanopsis","Indo-China","Asia-Tropical",3,NA
"P. cinnamomi","Castanopsis","Papuasia","Asia-Tropical",3,NA
"P. cinnamomi","Casuarina","Australia","Australasia",10,NA
"P. cinnamomi","Casuarina","Brazil","Southern America",1,NA
"P. cinnamomi","Casuarina","New Zealand","Australasia",12,NA
"P. cinnamomi","Casuarina","Southern Africa","Africa",2,NA
"P. cinnamomi","Ceanothus","Australia","Australasia",1,NA
"P. cinnamomi","Ceanothus","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Cedrus","0","Northern America",6,NA
"P. cinnamomi","Cedrus","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Cedrus","Southern Africa","Africa",2,NA
"P. cinnamomi","Cedrus","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Cedrus","Southwestern U.S.A.","Northern America",5,NA
"P. cinnamomi","Centaurea","Southern Africa","Africa",1,NA
"P. cinnamomi","Cephalotaxus","0","Northern America",1,NA
"P. cinnamomi","Cephalotaxus","Australia","Australasia",2,NA
"P. cinnamomi","Cephalotaxus","New Zealand","Australasia",2,NA
"P. cinnamomi","Ceratopetalum","Australia","Australasia",2,NA
"P. cinnamomi","Cercis","0","Northern America",1,NA
"P. cinnamomi","Cercis","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Chamaecyparis","0","Northern America",6,"Yes"
"P. cinnamomi","Chamaecyparis","Australia","Australasia",13,"Yes"
"P. cinnamomi","Chamaecyparis","Eastern Asia","Asia-Temperate",9,"Yes"
"P. cinnamomi","Chamaecyparis","Middle Europe","Europe",10,"Yes"
"P. cinnamomi","Chamaecyparis","New Zealand","Australasia",7,"Yes"
"P. cinnamomi","Chamaecyparis","Northern Europe","Europe",1,"Yes"
"P. cinnamomi","Chamaecyparis","Northwestern U.S.A.","Northern America",3,"Yes"
"P. cinnamomi","Chamaecyparis","Southeastern Europe","Europe",3,"Yes"
"P. cinnamomi","Chamaecyparis","Southeastern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Chamaecyparis","Southern Africa","Africa",3,"Yes"
"P. cinnamomi","Chamaecyparis","Southwestern Europe","Europe",3,"Yes"
"P. cinnamomi","Chamaecyparis","Southwestern U.S.A.","Northern America",2,"Yes"
"P. cinnamomi","Chamaecyparis","Western Asia","Asia-Temperate",1,"Yes"
"P. cinnamomi","Chamaescilla","Australia","Australasia",8,NA
"P. cinnamomi","Chamelaucium","Australia","Australasia",40,NA
"P. cinnamomi","Cheirodendron","0","Northern America",1,NA
"P. cinnamomi","Cheirodendron","North-Central Pacific","Pacific",2,NA
"P. cinnamomi","Chorizema","Australia","Australasia",2,NA
"P. cinnamomi","Chrysanthemum","0","0",1,NA
"P. cinnamomi","Cibotium","0","Northern America",3,NA
"P. cinnamomi","Cibotium","North-Central Pacific","Pacific",4,NA
"P. cinnamomi","Cinchona","0","Asia-Tropical",2,NA
"P. cinnamomi","Cinchona","Central America","Southern America",4,NA
"P. cinnamomi","Cinchona","China","Asia-Temperate",3,NA
"P. cinnamomi","Cinchona","Eastern Asia","Asia-Temperate",5,NA
"P. cinnamomi","Cinchona","Indian Subcontinent","Asia-Tropical",3,NA
"P. cinnamomi","Cinchona","Malesia","Asia-Tropical",7,NA
"P. cinnamomi","Cinchona","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Cinchona","West-Central Tropical Africa","Africa",1,NA
"P. cinnamomi","Cinchona","Western South America","Southern America",3,NA
"P. cinnamomi","Cinnamomum","0","Asia-Tropical",1,NA
"P. cinnamomi","Cinnamomum","Australia","Australasia",1,NA
"P. cinnamomi","Cinnamomum","China","Asia-Temperate",3,NA
"P. cinnamomi","Cinnamomum","Eastern Asia","Asia-Temperate",4,NA
"P. cinnamomi","Cinnamomum","Indian Subcontinent","Asia-Tropical",1,NA
"P. cinnamomi","Cinnamomum","Indo-China","Asia-Tropical",18,NA
"P. cinnamomi","Cinnamomum","Malesia","Asia-Tropical",21,NA
"P. cinnamomi","Cinnamomum","Mexico","Northern America",2,NA
"P. cinnamomi","Cissus","Australia","Australasia",1,NA
"P. cinnamomi","Cistus","Australia","Australasia",1,NA
"P. cinnamomi","Cistus","Southeastern Europe","Europe",2,NA
"P. cinnamomi","Cistus","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Citrus","Australia","Australasia",1,NA
"P. cinnamomi","Citrus","Brazil","Southern America",4,NA
"P. cinnamomi","Citrus","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Citrus","Southeastern Europe","Europe",2,NA
"P. cinnamomi","Citrus","Southwestern U.S.A.","Northern America",3,NA
"P. cinnamomi","Cliffortia","Southern Africa","Africa",6,NA
"P. cinnamomi","Coccoloba","Middle Europe","Europe",2,NA
"P. cinnamomi","Coleonema","Australia","Australasia",1,NA
"P. cinnamomi","Coleus","Australia","Australasia",1,NA
"P. cinnamomi","Colocasia","Southwestern Pacific","Pacific",4,NA
"P. cinnamomi","Comptonia","0","Northern America",1,NA
"P. cinnamomi","Comptonia","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Conostephium","Australia","Australasia",2,NA
"P. cinnamomi","Conostylis","Australia","Australasia",2,NA
"P. cinnamomi","Coprosma","0","Northern America",2,NA
"P. cinnamomi","Coprosma","Australia","Australasia",2,NA
"P. cinnamomi","Coprosma","New Zealand","Australasia",5,NA
"P. cinnamomi","Coprosma","North-Central Pacific","Pacific",2,NA
"P. cinnamomi","Coriaria","New Zealand","Australasia",4,NA
"P. cinnamomi","Cornus","0","Northern America",5,NA
"P. cinnamomi","Cornus","Southeastern U.S.A.","Northern America",3,NA
"P. cinnamomi","Corokia","New Zealand","Australasia",4,NA
"P. cinnamomi","Correa","Australia","Australasia",8,NA
"P. cinnamomi","Corymbia","0","Northern America",2,NA
"P. cinnamomi","Corymbia","Australia","Australasia",44,NA
"P. cinnamomi","Corymbia","New Zealand","Australasia",4,NA
"P. cinnamomi","Corymbia","North-Central Pacific","Pacific",2,NA
"P. cinnamomi","Corymbia","Southern Africa","Africa",2,NA
"P. cinnamomi","Cotoneaster","Australia","Australasia",2,NA
"P. cinnamomi","Cotoneaster","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Couroupita","Middle Europe","Europe",2,NA
"P. cinnamomi","Crassula","Australia","Australasia",2,NA
"P. cinnamomi","Cryptomeria","0","Northern America",1,NA
"P. cinnamomi","Cryptomeria","Australia","Australasia",2,NA
"P. cinnamomi","Cryptomeria","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Cucumis","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Cucurbita","New Zealand","Australasia",2,NA
"P. cinnamomi","Cupressus","0","Northern America",1,NA
"P. cinnamomi","Cupressus","Australia","Australasia",3,NA
"P. cinnamomi","Cupressus","New Zealand","Australasia",1,NA
"P. cinnamomi","Cupressus","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Cupressus","Southern South America","Southern America",2,NA
"P. cinnamomi","Cupressus","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Cupressus","Southwestern U.S.A.","Northern America",2,NA
"P. cinnamomi","Curcuma","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Curtisia","Southern Africa","Africa",2,NA
"P. cinnamomi","Cyathodes","Australia","Australasia",2,NA
"P. cinnamomi","Cyclamen","New Zealand","Australasia",2,NA
"P. cinnamomi","Cyrilla","0","Northern America",1,NA
"P. cinnamomi","Daboecia","Australia","Australasia",4,NA
"P. cinnamomi","Dacrycarpus","New Zealand","Australasia",1,NA
"P. cinnamomi","Dampiera","Australia","Australasia",2,NA
"P. cinnamomi","Daphne","Australia","Australasia",3,NA
"P. cinnamomi","Daphne","New Zealand","Australasia",4,NA
"P. cinnamomi","Daphne","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Darwinia","Australia","Australasia",3,NA
"P. cinnamomi","Daviesia","Australia","Australasia",2,NA
"P. cinnamomi","Desfontainia","Australia","Australasia",2,NA
"P. cinnamomi","Dianella","New Zealand","Australasia",2,NA
"P. cinnamomi","Dicksonia","Australia","Australasia",2,NA
"P. cinnamomi","Dicranopteris","0","Northern America",1,NA
"P. cinnamomi","Dicranopteris","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Didymochlaena","Australia","Australasia",2,NA
"P. cinnamomi","Dielsiodoxa","Australia","Australasia",2,NA
"P. cinnamomi","Dillwynia","Australia","Australasia",9,NA
"P. cinnamomi","Dionaea","0","Northern America",1,NA
"P. cinnamomi","Dionaea","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Diospyros","Eastern Asia","Asia-Temperate",4,NA
"P. cinnamomi","Diplolaena","Australia","Australasia",3,NA
"P. cinnamomi","Disa","Australia","Australasia",1,NA
"P. cinnamomi","Dracaena","0","Northern America",1,NA
"P. cinnamomi","Dracaena","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Drimys","Southern South America","Southern America",3,NA
"P. cinnamomi","Drosera","Australia","Australasia",2,NA
"P. cinnamomi","Durio","Indo-China","Asia-Tropical",3,NA
"P. cinnamomi","Elaeocarpus","Australia","Australasia",1,NA
"P. cinnamomi","Elaeocarpus","New Zealand","Australasia",4,NA
"P. cinnamomi","Encephalartos","Australia","Australasia",2,NA
"P. cinnamomi","Engelhardia","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Entelea","New Zealand","Australasia",1,NA
"P. cinnamomi","Epacris","Australia","Australasia",17,NA
"P. cinnamomi","Erica","0","Northern America",3,"Yes"
"P. cinnamomi","Erica","Australia","Australasia",8,"Yes"
"P. cinnamomi","Erica","Middle Europe","Europe",5,"Yes"
"P. cinnamomi","Erica","New Zealand","Australasia",13,"Yes"
"P. cinnamomi","Erica","Northeastern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Erica","Northwestern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Erica","Southern Africa","Africa",4,"Yes"
"P. cinnamomi","Erica","Southwestern Europe","Europe",3,"Yes"
"P. cinnamomi","Erica","Southwestern U.S.A.","Northern America",4,"Yes"
"P. cinnamomi","Eucalyptus","0","Northern America",5,NA
"P. cinnamomi","Eucalyptus","Australia","Australasia",164,NA
"P. cinnamomi","Eucalyptus","Brazil","Southern America",1,NA
"P. cinnamomi","Eucalyptus","New Zealand","Australasia",26,NA
"P. cinnamomi","Eucalyptus","North-Central Pacific","Pacific",8,NA
"P. cinnamomi","Eucalyptus","Southern Africa","Africa",18,NA
"P. cinnamomi","Eucalyptus","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Eucalyptus","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Eucryphia","Australia","Australasia",3,NA
"P. cinnamomi","Eustoma","Eastern Asia","Asia-Temperate",5,NA
"P. cinnamomi","Fagus","0","Northern America",2,"Yes"
"P. cinnamomi","Fagus","Eastern Asia","Asia-Temperate",3,"Yes"
"P. cinnamomi","Fagus","Middle Europe","Europe",1,"Yes"
"P. cinnamomi","Fatsia","New Zealand","Australasia",4,NA
"P. cinnamomi","Feijoa","Australia","Australasia",1,NA
"P. cinnamomi","Ficus","0","Northern America",1,NA
"P. cinnamomi","Ficus","Central America","Southern America",1,NA
"P. cinnamomi","Ficus","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Ficus","Western Asia","Asia-Temperate",3,NA
"P. cinnamomi","Flaveria","Australia","Australasia",1,NA
"P. cinnamomi","Flindersia","0","Northern America",1,NA
"P. cinnamomi","Flindersia","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Forsythia","New Zealand","Australasia",2,NA
"P. cinnamomi","Forsythia","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Freycinetia","0","Northern America",1,NA
"P. cinnamomi","Freycinetia","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Fuchsia","Australia","Australasia",2,NA
"P. cinnamomi","Fuchsia","New Zealand","Australasia",4,NA
"P. cinnamomi","Gahnia","New Zealand","Australasia",2,NA
"P. cinnamomi","Garrya","Australia","Australasia",2,NA
"P. cinnamomi","Gaultheria","0","Northern America",1,NA
"P. cinnamomi","Gaultheria","Australia","Australasia",4,NA
"P. cinnamomi","Gaultheria","Middle Europe","Europe",1,NA
"P. cinnamomi","Gaultheria","New Zealand","Australasia",4,NA
"P. cinnamomi","Gaultheria","Northwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Geniostoma","New Zealand","Australasia",2,NA
"P. cinnamomi","Gerbera","Australia","Australasia",1,"Yes"
"P. cinnamomi","Gevuina","Australia","Australasia",2,NA
"P. cinnamomi","Gevuina","New Zealand","Australasia",4,NA
"P. cinnamomi","Ginkgo","Australia","Australasia",1,NA
"P. cinnamomi","Gleichenia","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Glochidion","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Gompholobium","Australia","Australasia",5,NA
"P. cinnamomi","Gonocarpus","Australia","Australasia",6,NA
"P. cinnamomi","Goodenia","Australia","Australasia",2,NA
"P. cinnamomi","Grevillea","Australia","Australasia",30,NA
"P. cinnamomi","Griselinia","New Zealand","Australasia",6,NA
"P. cinnamomi","Gymnostoma","Australia","Australasia",2,NA
"P. cinnamomi","Hakea","Australia","Australasia",15,NA
"P. cinnamomi","Hakea","New Zealand","Australasia",4,NA
"P. cinnamomi","Hakea","Southern Africa","Africa",2,NA
"P. cinnamomi","Harpullia","Australia","Australasia",1,NA
"P. cinnamomi","Hedera","Northern Europe","Europe",2,NA
"P. cinnamomi","Hedycarya","New Zealand","Australasia",1,NA
"P. cinnamomi","Helleborus","Australia","Australasia",1,NA
"P. cinnamomi","Helmholtzia","Australia","Australasia",1,NA
"P. cinnamomi","Hesperocyparis","Australia","Australasia",5,NA
"P. cinnamomi","Hesperocyparis","New Zealand","Australasia",6,NA
"P. cinnamomi","Hesperoyucca","Australia","Australasia",3,NA
"P. cinnamomi","Heuchera","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Hibbertia","Australia","Australasia",24,NA
"P. cinnamomi","Hibiscus","Australia","Australasia",1,NA
"P. cinnamomi","Hovea","Australia","Australasia",6,NA
"P. cinnamomi","Hudsonia","0","Northern America",1,NA
"P. cinnamomi","Hudsonia","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Hydrangea","0","Northern America",1,NA
"P. cinnamomi","Hydrangea","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Hydrocotyle","Australia","Australasia",2,NA
"P. cinnamomi","Hypericum","Eastern Asia","Asia-Temperate",8,NA
"P. cinnamomi","Hypocalymma","Australia","Australasia",9,NA
"P. cinnamomi","Hypochaeris","Australia","Australasia",2,NA
"P. cinnamomi","Iberis","Southeastern Europe","Europe",1,NA
"P. cinnamomi","Iberis","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Idesia","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Ilex","0","Northern America",6,"Yes"
"P. cinnamomi","Ilex","Middle Europe","Europe",2,"Yes"
"P. cinnamomi","Ilex","Southeastern U.S.A.","Northern America",9,"Yes"
"P. cinnamomi","Isopogon","Australia","Australasia",17,NA
"P. cinnamomi","Isopogon","New Zealand","Australasia",1,NA
"P. cinnamomi","Itea","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Jacaranda","Australia","Australasia",2,NA
"P. cinnamomi","Juglans","0","Northern America",8,NA
"P. cinnamomi","Juglans","Australia","Australasia",7,NA
"P. cinnamomi","Juglans","New Zealand","Australasia",6,NA
"P. cinnamomi","Juglans","Southeastern Europe","Europe",4,NA
"P. cinnamomi","Juglans","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Juglans","Southern South America","Southern America",18,NA
"P. cinnamomi","Juglans","Southwestern Europe","Europe",5,NA
"P. cinnamomi","Juglans","Southwestern U.S.A.","Northern America",6,NA
"P. cinnamomi","Juglans","Western Asia","Asia-Temperate",3,NA
"P. cinnamomi","Juniperus","0","Northern America",3,"Yes"
"P. cinnamomi","Juniperus","Australia","Australasia",4,"Yes"
"P. cinnamomi","Juniperus","New Zealand","Australasia",9,"Yes"
"P. cinnamomi","Juniperus","Northwestern U.S.A.","Northern America",2,"Yes"
"P. cinnamomi","Juniperus","Southeastern Europe","Europe",2,"Yes"
"P. cinnamomi","Juniperus","Southeastern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Juniperus","Southwestern Europe","Europe",1,"Yes"
"P. cinnamomi","Juniperus","Southwestern U.S.A.","Northern America",3,"Yes"
"P. cinnamomi","Kadua","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Kalmia","0","Northern America",3,"Yes"
"P. cinnamomi","Kalmia","Southeastern Europe","Europe",3,"Yes"
