"Phytophthora","Host","Level.1","Total","PxH.in.Scotland"
"P. cinnamomi","Castanea","Southern America",4,"Yes"
"P. cinnamomi","Castanopsis","Asia-Temperate",12,NA
"P. cinnamomi","Castanopsis","Asia-Tropical",6,NA
"P. cinnamomi","Casuarina","Africa",2,NA
"P. cinnamomi","Casuarina","Australasia",22,NA
"P. cinnamomi","Casuarina","Southern America",1,NA
"P. cinnamomi","Ceanothus","Australasia",1,NA
"P. cinnamomi","Ceanothus","Northern America",1,NA
"P. cinnamomi","Cedrus","Africa",2,NA
"P. cinnamomi","Cedrus","Europe",1,NA
"P. cinnamomi","Cedrus","Northern America",12,NA
"P. cinnamomi","Centaurea","Africa",1,NA
"P. cinnamomi","Cephalotaxus","Australasia",4,NA
"P. cinnamomi","Cephalotaxus","Northern America",1,NA
"P. cinnamomi","Ceratopetalum","Australasia",2,NA
"P. cinnamomi","Cercis","Northern America",2,NA
"P. cinnamomi","Chamaecyparis","Africa",3,"Yes"
"P. cinnamomi","Chamaecyparis","Asia-Temperate",10,"Yes"
"P. cinnamomi","Chamaecyparis","Australasia",20,"Yes"
"P. cinnamomi","Chamaecyparis","Europe",17,"Yes"
"P. cinnamomi","Chamaecyparis","Northern America",12,"Yes"
"P. cinnamomi","Chamaescilla","Australasia",8,NA
"P. cinnamomi","Chamelaucium","Australasia",40,NA
"P. cinnamomi","Cheirodendron","Northern America",1,NA
"P. cinnamomi","Cheirodendron","Pacific",2,NA
"P. cinnamomi","Chorizema","Australasia",2,NA
"P. cinnamomi","Chrysanthemum","0",1,NA
"P. cinnamomi","Cibotium","Northern America",3,NA
"P. cinnamomi","Cibotium","Pacific",4,NA
"P. cinnamomi","Cinchona","Africa",1,NA
"P. cinnamomi","Cinchona","Asia-Temperate",8,NA
"P. cinnamomi","Cinchona","Asia-Tropical",12,NA
"P. cinnamomi","Cinchona","Europe",1,NA
"P. cinnamomi","Cinchona","Southern America",7,NA
"P. cinnamomi","Cinnamomum","Asia-Temperate",7,NA
"P. cinnamomi","Cinnamomum","Asia-Tropical",41,NA
"P. cinnamomi","Cinnamomum","Australasia",1,NA
"P. cinnamomi","Cinnamomum","Northern America",2,NA
"P. cinnamomi","Cissus","Australasia",1,NA
"P. cinnamomi","Cistus","Australasia",1,NA
"P. cinnamomi","Cistus","Europe",3,NA
"P. cinnamomi","Citrus","Asia-Temperate",1,NA
"P. cinnamomi","Citrus","Australasia",1,NA
"P. cinnamomi","Citrus","Europe",2,NA
"P. cinnamomi","Citrus","Northern America",3,NA
"P. cinnamomi","Citrus","Southern America",4,NA
"P. cinnamomi","Cliffortia","Africa",6,NA
"P. cinnamomi","Coccoloba","Europe",2,NA
"P. cinnamomi","Coleonema","Australasia",1,NA
"P. cinnamomi","Coleus","Australasia",1,NA
"P. cinnamomi","Colocasia","Pacific",4,NA
"P. cinnamomi","Comptonia","Northern America",2,NA
"P. cinnamomi","Conostephium","Australasia",2,NA
"P. cinnamomi","Conostylis","Australasia",2,NA
"P. cinnamomi","Coprosma","Australasia",7,NA
"P. cinnamomi","Coprosma","Northern America",2,NA
"P. cinnamomi","Coprosma","Pacific",2,NA
"P. cinnamomi","Coriaria","Australasia",4,NA
"P. cinnamomi","Cornus","Northern America",8,NA
"P. cinnamomi","Corokia","Australasia",4,NA
"P. cinnamomi","Correa","Australasia",8,NA
"P. cinnamomi","Corymbia","Africa",2,NA
"P. cinnamomi","Corymbia","Australasia",48,NA
"P. cinnamomi","Corymbia","Northern America",2,NA
"P. cinnamomi","Corymbia","Pacific",2,NA
"P. cinnamomi","Cotoneaster","Australasia",2,NA
"P. cinnamomi","Cotoneaster","Northern America",1,NA
"P. cinnamomi","Couroupita","Europe",2,NA
"P. cinnamomi","Crassula","Australasia",2,NA
"P. cinnamomi","Cryptomeria","Australasia",2,NA
"P. cinnamomi","Cryptomeria","Northern America",2,NA
"P. cinnamomi","Cucumis","Northern America",1,NA
"P. cinnamomi","Cucurbita","Australasia",2,NA
"P. cinnamomi","Cupressus","Australasia",4,NA
"P. cinnamomi","Cupressus","Europe",1,NA
"P. cinnamomi","Cupressus","Northern America",5,NA
"P. cinnamomi","Cupressus","Southern America",2,NA
"P. cinnamomi","Curcuma","Asia-Temperate",1,NA
"P. cinnamomi","Curtisia","Africa",2,NA
"P. cinnamomi","Cyathodes","Australasia",2,NA
"P. cinnamomi","Cyclamen","Australasia",2,NA
"P. cinnamomi","Cyrilla","Northern America",1,NA
"P. cinnamomi","Daboecia","Australasia",4,NA
"P. cinnamomi","Dacrycarpus","Australasia",1,NA
"P. cinnamomi","Dampiera","Australasia",2,NA
"P. cinnamomi","Daphne","Australasia",7,NA
"P. cinnamomi","Daphne","Northern America",1,NA
"P. cinnamomi","Darwinia","Australasia",3,NA
"P. cinnamomi","Daviesia","Australasia",2,NA
"P. cinnamomi","Desfontainia","Australasia",2,NA
"P. cinnamomi","Dianella","Australasia",2,NA
"P. cinnamomi","Dicksonia","Australasia",2,NA
"P. cinnamomi","Dicranopteris","Northern America",1,NA
"P. cinnamomi","Dicranopteris","Pacific",1,NA
"P. cinnamomi","Didymochlaena","Australasia",2,NA
"P. cinnamomi","Dielsiodoxa","Australasia",2,NA
"P. cinnamomi","Dillwynia","Australasia",9,NA
"P. cinnamomi","Dionaea","Northern America",2,NA
"P. cinnamomi","Diospyros","Asia-Temperate",4,NA
"P. cinnamomi","Diplolaena","Australasia",3,NA
"P. cinnamomi","Disa","Australasia",1,NA
"P. cinnamomi","Dracaena","Northern America",2,NA
"P. cinnamomi","Drimys","Southern America",3,NA
"P. cinnamomi","Drosera","Australasia",2,NA
"P. cinnamomi","Durio","Asia-Tropical",3,NA
"P. cinnamomi","Elaeocarpus","Australasia",5,NA
"P. cinnamomi","Encephalartos","Australasia",2,NA
"P. cinnamomi","Engelhardia","Asia-Temperate",1,NA
"P. cinnamomi","Entelea","Australasia",1,NA
"P. cinnamomi","Epacris","Australasia",17,NA
"P. cinnamomi","Erica","Africa",4,"Yes"
"P. cinnamomi","Erica","Australasia",21,"Yes"
"P. cinnamomi","Erica","Europe",8,"Yes"
"P. cinnamomi","Erica","Northern America",9,"Yes"
"P. cinnamomi","Eucalyptus","Africa",18,NA
"P. cinnamomi","Eucalyptus","Australasia",190,NA
"P. cinnamomi","Eucalyptus","Europe",2,NA
"P. cinnamomi","Eucalyptus","Northern America",6,NA
"P. cinnamomi","Eucalyptus","Pacific",8,NA
"P. cinnamomi","Eucalyptus","Southern America",1,NA
"P. cinnamomi","Eucryphia","Australasia",3,NA
"P. cinnamomi","Eustoma","Asia-Temperate",5,NA
"P. cinnamomi","Fagus","Asia-Temperate",3,"Yes"
"P. cinnamomi","Fagus","Europe",1,"Yes"
"P. cinnamomi","Fagus","Northern America",2,"Yes"
"P. cinnamomi","Fatsia","Australasia",4,NA
"P. cinnamomi","Feijoa","Australasia",1,NA
"P. cinnamomi","Ficus","Asia-Temperate",3,NA
"P. cinnamomi","Ficus","Northern America",2,NA
"P. cinnamomi","Ficus","Southern America",1,NA
"P. cinnamomi","Flaveria","Australasia",1,NA
"P. cinnamomi","Flindersia","Northern America",1,NA
"P. cinnamomi","Flindersia","Pacific",1,NA
"P. cinnamomi","Forsythia","Australasia",2,NA
"P. cinnamomi","Forsythia","Northern America",1,NA
"P. cinnamomi","Freycinetia","Northern America",1,NA
"P. cinnamomi","Freycinetia","Pacific",1,NA
"P. cinnamomi","Fuchsia","Australasia",6,NA
"P. cinnamomi","Gahnia","Australasia",2,NA
"P. cinnamomi","Garrya","Australasia",2,NA
"P. cinnamomi","Gaultheria","Australasia",8,NA
"P. cinnamomi","Gaultheria","Europe",1,NA
"P. cinnamomi","Gaultheria","Northern America",2,NA
"P. cinnamomi","Geniostoma","Australasia",2,NA
"P. cinnamomi","Gerbera","Australasia",1,"Yes"
"P. cinnamomi","Gevuina","Australasia",6,NA
"P. cinnamomi","Ginkgo","Australasia",1,NA
"P. cinnamomi","Gleichenia","Pacific",1,NA
"P. cinnamomi","Glochidion","Asia-Temperate",2,NA
"P. cinnamomi","Gompholobium","Australasia",5,NA
"P. cinnamomi","Gonocarpus","Australasia",6,NA
"P. cinnamomi","Goodenia","Australasia",2,NA
"P. cinnamomi","Grevillea","Australasia",30,NA
"P. cinnamomi","Griselinia","Australasia",6,NA
"P. cinnamomi","Gymnostoma","Australasia",2,NA
"P. cinnamomi","Hakea","Africa",2,NA
"P. cinnamomi","Hakea","Australasia",19,NA
"P. cinnamomi","Harpullia","Australasia",1,NA
"P. cinnamomi","Hedera","Europe",2,NA
"P. cinnamomi","Hedycarya","Australasia",1,NA
"P. cinnamomi","Helleborus","Australasia",1,NA
"P. cinnamomi","Helmholtzia","Australasia",1,NA
"P. cinnamomi","Hesperocyparis","Australasia",11,NA
"P. cinnamomi","Hesperoyucca","Australasia",3,NA
"P. cinnamomi","Heuchera","Northern America",1,NA
"P. cinnamomi","Hibbertia","Australasia",24,NA
"P. cinnamomi","Hibiscus","Australasia",1,NA
"P. cinnamomi","Hovea","Australasia",6,NA
"P. cinnamomi","Hudsonia","Northern America",2,NA
"P. cinnamomi","Hydrangea","Northern America",1,NA
"P. cinnamomi","Hydrangea","Pacific",1,NA
"P. cinnamomi","Hydrocotyle","Australasia",2,NA
"P. cinnamomi","Hypericum","Asia-Temperate",8,NA
"P. cinnamomi","Hypocalymma","Australasia",9,NA
"P. cinnamomi","Hypochaeris","Australasia",2,NA
"P. cinnamomi","Iberis","Europe",1,NA
"P. cinnamomi","Iberis","Northern America",1,NA
"P. cinnamomi","Idesia","Asia-Temperate",2,NA
"P. cinnamomi","Ilex","Europe",2,"Yes"
"P. cinnamomi","Ilex","Northern America",15,"Yes"
"P. cinnamomi","Isopogon","Australasia",18,NA
"P. cinnamomi","Itea","Northern America",1,NA
"P. cinnamomi","Jacaranda","Australasia",2,NA
"P. cinnamomi","Juglans","Asia-Temperate",3,NA
"P. cinnamomi","Juglans","Australasia",13,NA
"P. cinnamomi","Juglans","Europe",9,NA
"P. cinnamomi","Juglans","Northern America",15,NA
"P. cinnamomi","Juglans","Southern America",18,NA
"P. cinnamomi","Juniperus","Australasia",13,"Yes"
"P. cinnamomi","Juniperus","Europe",3,"Yes"
"P. cinnamomi","Juniperus","Northern America",9,"Yes"
"P. cinnamomi","Kadua","Pacific",1,NA
"P. cinnamomi","Kalmia","Europe",4,"Yes"
"P. cinnamomi","Kalmia","Northern America",5,"Yes"
"P. cinnamomi","Kingia","Australasia",1,NA
"P. cinnamomi","Knightia","Australasia",5,NA
"P. cinnamomi","Kunzea","Australasia",11,NA
"P. cinnamomi","Lactuca","Australasia",1,NA
"P. cinnamomi","Lagunaria","Australasia",1,NA
"P. cinnamomi","Larix","Asia-Temperate",2,NA
"P. cinnamomi","Larix","Australasia",12,NA
"P. cinnamomi","Larix","Northern America",7,NA
"P. cinnamomi","Lasiopetalum","Australasia",2,NA
"P. cinnamomi","Laurus","Europe",2,"Yes"
"P. cinnamomi","Lavandula","Europe",2,NA
"P. cinnamomi","Lepidosperma","Australasia",3,NA
"P. cinnamomi","Leptecophylla","Australasia",4,NA
"P. cinnamomi","Leptecophylla","Northern America",1,NA
"P. cinnamomi","Leptecophylla","Pacific",1,NA
"P. cinnamomi","Leptospermum","Australasia",14,NA
"P. cinnamomi","Leschenaultia","Australasia",1,NA
"P. cinnamomi","Leucadendron","Africa",147,NA
"P. cinnamomi","Leucadendron","Asia-Temperate",2,NA
"P. cinnamomi","Leucadendron","Australasia",31,NA
"P. cinnamomi","Leucadendron","Northern America",13,NA
"P. cinnamomi","Leucadendron","Pacific",1,NA
"P. cinnamomi","Leucophyllum","Northern America",2,NA
"P. cinnamomi","Leucopogon","Australasia",25,NA
"P. cinnamomi","Leucospermum","Africa",158,NA
"P. cinnamomi","Leucospermum","Australasia",15,NA
"P. cinnamomi","Leucospermum","Northern America",4,NA
"P. cinnamomi","Leucospermum","Pacific",3,NA
"P. cinnamomi","Leycesteria","Australasia",1,NA
"P. cinnamomi","Lilium","Asia-Temperate",3,NA
"P. cinnamomi","Lilium","Australasia",1,NA
"P. cinnamomi","Limonium","Asia-Temperate",2,NA
"P. cinnamomi","Liparia","Africa",2,NA
"P. cinnamomi","Liriodendron","Northern America",2,NA
"P. cinnamomi","Lissanthe","Australasia",2,NA
"P. cinnamomi","Litchi","Australasia",3,NA
"P. cinnamomi","Lithocarpus","Asia-Temperate",4,NA
"P. cinnamomi","Litsea","Australasia",1,NA
"P. cinnamomi","Lomatia","Australasia",2,NA
"P. cinnamomi","Lophomyrtus","Australasia",4,NA
"P. cinnamomi","Lophostemon","Australasia",4,NA
"P. cinnamomi","Luma","Southern America",3,NA
"P. cinnamomi","Lupinus","Australasia",23,NA
"P. cinnamomi","Lycopodium","Australasia",8,NA
"P. cinnamomi","Lycopodium","Pacific",1,NA
"P. cinnamomi","Macadamia","Africa",2,NA
"P. cinnamomi","Macadamia","Asia-Temperate",1,NA
"P. cinnamomi","Macadamia","Australasia",31,NA
"P. cinnamomi","Macadamia","Northern America",10,NA
"P. cinnamomi","Macadamia","Pacific",2,NA
"P. cinnamomi","Machilus","Asia-Temperate",5,NA
"P. cinnamomi","Macrozamia","Australasia",5,NA
"P. cinnamomi","Magnolia","Asia-Tropical",1,NA
"P. cinnamomi","Magnolia","Australasia",3,NA
"P. cinnamomi","Magnolia","Europe",2,NA
"P. cinnamomi","Mandevilla","Northern America",2,NA
"P. cinnamomi","Melaleuca","Australasia",28,NA
"P. cinnamomi","Melaleuca","Europe",1,NA
"P. cinnamomi","Melanopsidium","Asia-Temperate",2,NA
"P. cinnamomi","Melanopsidium","Southern America",1,NA
"P. cinnamomi","Melastoma","Northern America",1,NA
"P. cinnamomi","Melastoma","Pacific",1,NA
"P. cinnamomi","Melicytus","Australasia",4,NA
"P. cinnamomi","Meryta","Australasia",4,NA
"P. cinnamomi","Metrosideros","Australasia",9,NA
"P. cinnamomi","Metrosideros","Pacific",4,NA
"P. cinnamomi","Microbiota","Europe",2,NA
"P. cinnamomi","Micromyrtus","Australasia",2,NA
"P. cinnamomi","Mimetes","Africa",9,NA
"P. cinnamomi","Mirbelia","Australasia",2,NA
"P. cinnamomi","Mitrasacme","Australasia",1,NA
"P. cinnamomi","Monotoca","Australasia",5,NA
"P. cinnamomi","Mucuna","Northern America",1,NA
"P. cinnamomi","Mucuna","Pacific",1,NA
"P. cinnamomi","Myrsine","Australasia",5,NA
"P. cinnamomi","Myrsine","Northern America",2,NA
"P. cinnamomi","Myrsine","Pacific",2,NA
"P. cinnamomi","Myrtus","Europe",4,NA
"P. cinnamomi","Nematolepis","Australasia",3,NA
"P. cinnamomi","Neolitsea","Asia-Tropical",1,NA
"P. cinnamomi","Neopanax","Australasia",4,NA
"P. cinnamomi","Nestegis","Australasia",4,NA
"P. cinnamomi","Nicotiana","0",1,NA
"P. cinnamomi","Nothofagus","Asia-Tropical",2,NA
"P. cinnamomi","Nothofagus","Australasia",39,NA
"P. cinnamomi","Nothofagus","Southern America",3,NA
"P. cinnamomi","Notholithocarpus","Northern America",8,NA
"P. cinnamomi","Nymania","Africa",2,NA
"P. cinnamomi","Ocotea","Africa",2,NA
"P. cinnamomi","Ocotea","Southern America",4,NA
"P. cinnamomi","Olea","Australasia",3,NA
"P. cinnamomi","Olea","Europe",1,NA
"P. cinnamomi","Olearia","Australasia",7,NA
"P. cinnamomi","Orothamnus","Africa",6,NA
"P. cinnamomi","Oxylobium","Australasia",11,NA
"P. cinnamomi","Panax","Asia-Temperate",1,NA
"P. cinnamomi","Pandanus","Pacific",1,NA
"P. cinnamomi","Pandorea","Australasia",1,NA
"P. cinnamomi","Paranomus","Africa",4,NA
"P. cinnamomi","Passiflora","Australasia",9,NA
"P. cinnamomi","Passiflora","Pacific",2,NA
"P. cinnamomi","Passiflora","Southern America",1,NA
"P. cinnamomi","Patersonia","Australasia",4,NA
"P. cinnamomi","Pectinopitys","Australasia",4,NA
"P. cinnamomi","Pentameris","Australasia",2,NA
"P. cinnamomi","Pericallis","Australasia",2,"Yes"
"P. cinnamomi","Pericalymma","Australasia",2,NA
"P. cinnamomi","Perrottetia","Northern America",1,NA
"P. cinnamomi","Perrottetia","Pacific",1,NA
"P. cinnamomi","Persea","0",1,NA
"P. cinnamomi","Persea","Africa",13,NA
"P. cinnamomi","Persea","Asia-Temperate",9,NA
"P. cinnamomi","Persea","Asia-Tropical",8,NA
"P. cinnamomi","Persea","Australasia",138,NA
"P. cinnamomi","Persea","Europe",6,NA
"P. cinnamomi","Persea","Northern America",34,NA
"P. cinnamomi","Persea","Pacific",5,NA
"P. cinnamomi","Persea","Southern America",162,NA
"P. cinnamomi","Persoonia","Australasia",3,NA
"P. cinnamomi","Petrophile","Australasia",7,NA
"P. cinnamomi","Phaseolus","Southern America",1,NA
"P. cinnamomi","Philotheca","Australasia",1,NA
"P. cinnamomi","Phormium","Australasia",4,NA
"P. cinnamomi","Phyllocladus","Australasia",7,NA
"P. cinnamomi","Picea","Europe",1,NA
"P. cinnamomi","Picea","Northern America",18,NA
"P. cinnamomi","Pieris","Australasia",11,"Yes"
"P. cinnamomi","Pieris","Europe",2,"Yes"
"P. cinnamomi","Pieris","Northern America",8,"Yes"
"P. cinnamomi","Pimelea","Australasia",9,NA
"P. cinnamomi","Pinus","Africa",14,"Yes"
"P. cinnamomi","Pinus","Asia-Tropical",1,"Yes"
"P. cinnamomi","Pinus","Australasia",180,"Yes"
"P. cinnamomi","Pinus","Europe",22,"Yes"
"P. cinnamomi","Pinus","Northern America",42,"Yes"
"P. cinnamomi","Pinus","Southern America",5,"Yes"
"P. cinnamomi","Piper","Australasia",1,NA
"P. cinnamomi","Pipturus","Northern America",1,NA
"P. cinnamomi","Pipturus","Pacific",1,NA
"P. cinnamomi","Pistacia","Europe",1,NA
"P. cinnamomi","Platanus","Australasia",7,NA
"P. cinnamomi","Platanus","Europe",7,NA
"P. cinnamomi","Platanus","Northern America",5,NA
"P. cinnamomi","Platanus","Southern America",2,NA
"P. cinnamomi","Platylobium","Australasia",3,NA
"P. cinnamomi","Platysace","Australasia",2,NA
"P. cinnamomi","Podocarpus","Australasia",5,NA
"P. cinnamomi","Podotheca","Australasia",2,NA
"P. cinnamomi","Polygala","Australasia",1,NA
"P. cinnamomi","Polystichum","Northern America",4,NA
"P. cinnamomi","Pomaderris","Australasia",2,NA
"P. cinnamomi","Protea","Africa",95,NA
"P. cinnamomi","Protea","Australasia",24,NA
"P. cinnamomi","Protea","Europe",1,NA
"P. cinnamomi","Protea","Northern America",11,NA
"P. cinnamomi","Protea","Pacific",4,NA
"P. cinnamomi","Prunus","Africa",2,"Yes"
"P. cinnamomi","Prunus","Australasia",17,"Yes"
"P. cinnamomi","Prunus","Europe",2,"Yes"
"P. cinnamomi","Prunus","Northern America",9,"Yes"
"P. cinnamomi","Pseudopanax","Australasia",4,NA
"P. cinnamomi","Pseudotsuga","Australasia",28,NA
"P. cinnamomi","Pseudotsuga","Europe",1,NA
"P. cinnamomi","Pseudotsuga","Northern America",7,NA
"P. cinnamomi","Psidium","Northern America",1,NA
"P. cinnamomi","Psidium","Pacific",1,NA
"P. cinnamomi","Psychotria","Pacific",1,NA
"P. cinnamomi","Pteris","Northern America",2,NA
"P. cinnamomi","Pterochaeta","Australasia",5,NA
"P. cinnamomi","Pterophylla","Australasia",1,NA
"P. cinnamomi","Pultenaea","Australasia",17,NA
"P. cinnamomi","Pyracantha","Northern America",1,NA
"P. cinnamomi","Pyrus","Africa",4,NA
"P. cinnamomi","Pyrus","Australasia",5,NA
"P. cinnamomi","Pyrus","Northern America",3,NA
"P. cinnamomi","Quercus","Africa",5,NA
"P. cinnamomi","Quercus","Asia-Temperate",22,NA
"P. cinnamomi","Quercus","Asia-Tropical",1,NA
"P. cinnamomi","Quercus","Australasia",3,NA
"P. cinnamomi","Quercus","Europe",269,NA
"P. cinnamomi","Quercus","Northern America",63,NA
"P. cinnamomi","Rhamnus","Europe",3,NA
"P. cinnamomi","Rhaphiolepis","Australasia",2,NA
"P. cinnamomi","Rhododendron","0",1,"Yes"
"P. cinnamomi","Rhododendron","Africa",1,"Yes"
"P. cinnamomi","Rhododendron","Asia-Temperate",16,"Yes"
"P. cinnamomi","Rhododendron","Asia-Tropical",1,"Yes"
"P. cinnamomi","Rhododendron","Australasia",23,"Yes"
"P. cinnamomi","Rhododendron","Europe",38,"Yes"
"P. cinnamomi","Rhododendron","Northern America",79,"Yes"
"P. cinnamomi","Rhododendron","Pacific",2,"Yes"
"P. cinnamomi","Richardia","Northern America",2,NA
"P. cinnamomi","Richardia","Pacific",2,NA
"P. cinnamomi","Ricinocarpos","Australasia",1,NA
"P. cinnamomi","Ricinus","Northern America",1,NA
"P. cinnamomi","Ricinus","Pacific",1,NA
"P. cinnamomi","Robinia","Asia-Temperate",4,NA
"P. cinnamomi","Robinia","Northern America",3,NA
"P. cinnamomi","Rosa","Australasia",1,NA
"P. cinnamomi","Rubus","Australasia",15,NA
"P. cinnamomi","Rubus","Northern America",1,NA
"P. cinnamomi","Rubus","Pacific",1,NA
"P. cinnamomi","Rytidosperma","Australasia",2,NA
"P. cinnamomi","Salvia","Australasia",6,NA
"P. cinnamomi","Sarracenia","Europe",1,NA
"P. cinnamomi","Saxegothaea","Southern America",4,NA
"P. cinnamomi","Scaevola","Australasia",1,NA
"P. cinnamomi","Sciadopitys","Australasia",4,NA
"P. cinnamomi","Sciadopitys","Europe",1,NA
