"Phytophthora","Host","Level.4","Level.3","Level.2","Level.1","Total","PxH.in.Scotland"
"P. cinnamomi","Petrophile serruriae",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Philotheca virgata",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Phormium tenax",NA,NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Phyllocladus trichomanoides",NA,NA,"New Zealand","Australasia",7,NA
"P. cinnamomi","Picea abies","Maryland","Maryland","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Picea abies","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Picea abies","Virginia","Virginia","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Picea abies",NA,NA,NA,"Northern America",5,NA
"P. cinnamomi","Picea pungens","Maryland","Maryland","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Picea pungens","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Picea pungens",NA,NA,NA,"Northern America",4,NA
"P. cinnamomi","Pieris floribunda","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pieris floribunda",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Pieris japonica","Czech Republic","Czechoslovakia","Middle Europe","Europe",1,NA
"P. cinnamomi","Pieris japonica","Maryland","Maryland","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pieris japonica","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pieris japonica","Washington","Washington","Northwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pieris japonica",NA,NA,"Australia","Australasia",4,NA
"P. cinnamomi","Pieris japonica",NA,NA,"New Zealand","Australasia",6,NA
"P. cinnamomi","Pieris japonica",NA,NA,NA,"Northern America",3,NA
"P. cinnamomi","Pimelea ferruginea",NA,NA,"Australia","Australasia",5,NA
"P. cinnamomi","Pimelea humilis",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Pimelea rosea",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Pinus brutia","France","France","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Pinus canariensis","California","California","Southwestern U.S.A.","Northern America",2,NA
"P. cinnamomi","Pinus canariensis",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Pinus caribaea",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Pinus caribaea",NA,NA,"Malesia","Asia-Tropical",1,NA
"P. cinnamomi","Pinus clausa","Florida","Florida","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pinus clausa",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Pinus clausa",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Pinus echinata","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Pinus echinata","South Carolina","South Carolina","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pinus echinata","Virginia","Virginia","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pinus echinata",NA,NA,"New Zealand","Australasia",3,NA
"P. cinnamomi","Pinus echinata",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Pinus elliottii","France","France","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Pinus elliottii",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Pinus elliottii",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Pinus halepensis",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Pinus kesiya",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Pinus kesiya",NA,NA,"New Zealand","Australasia",3,NA
"P. cinnamomi","Pinus kesiya",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Pinus lambertiana",NA,NA,"New Zealand","Australasia",1,NA
"P. cinnamomi","Pinus monticola",NA,NA,"New Zealand","Australasia",1,NA
"P. cinnamomi","Pinus mugo","California","California","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pinus mugo","Croatia","Yugoslavia","Southeastern Europe","Europe",1,NA
"P. cinnamomi","Pinus mugo","Poland","Poland","Middle Europe","Europe",2,NA
"P. cinnamomi","Pinus mugo",NA,NA,"New Zealand","Australasia",3,NA
"P. cinnamomi","Pinus mugo",NA,NA,NA,"Northern America",5,NA
"P. cinnamomi","Pinus nigra","Poland","Poland","Middle Europe","Europe",4,NA
"P. cinnamomi","Pinus occidentalis","Dominican Republic","Dominican Republic","Caribbean","Southern America",2,NA
"P. cinnamomi","Pinus palustris",NA,NA,"New Zealand","Australasia",6,NA
"P. cinnamomi","Pinus patula",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Pinus patula",NA,NA,"Brazil","Southern America",1,NA
"P. cinnamomi","Pinus patula",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Pinus pinaster",NA,NA,"Australia","Australasia",3,NA
"P. cinnamomi","Pinus pinaster",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Pinus pinea","Croatia","Yugoslavia","Southeastern Europe","Europe",2,NA
"P. cinnamomi","Pinus pinea","Italy","Italy","Southeastern Europe","Europe",3,NA
"P. cinnamomi","Pinus radiata","California","California","Southwestern U.S.A.","Northern America",4,NA
"P. cinnamomi","Pinus radiata","Spain","Spain","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Pinus radiata",NA,NA,"Australia","Australasia",29,NA
"P. cinnamomi","Pinus radiata",NA,NA,"New Zealand","Australasia",117,NA
"P. cinnamomi","Pinus radiata",NA,NA,"Southern Africa","Africa",4,NA
"P. cinnamomi","Pinus resinosa","Delaware","Delaware","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pinus resinosa","Maryland","Maryland","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pinus resinosa",NA,NA,NA,"Northern America",3,NA
"P. cinnamomi","Pinus strobus","Maryland","Maryland","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pinus strobus","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pinus strobus",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Pinus sylvestris","France","France","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Pinus sylvestris","Maryland","Maryland","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pinus sylvestris","Poland","Poland","Middle Europe","Europe",1,NA
"P. cinnamomi","Pinus sylvestris","Virginia","Virginia","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pinus sylvestris",NA,NA,NA,"Northern America",3,NA
"P. cinnamomi","Pinus taeda","Louisiana","Louisiana","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pinus taeda","Virginia","Virginia","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pinus taeda",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Pinus taeda",NA,NA,"New Zealand","Australasia",3,NA
"P. cinnamomi","Pinus taeda",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Pinus wallichiana","Hungary","Hungary","Middle Europe","Europe",3,NA
"P. cinnamomi","Piper excelsum",NA,NA,"New Zealand","Australasia",1,NA
"P. cinnamomi","Pipturus albidus",NA,"Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Pipturus albidus",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Pistacia lentiscus","Italy","Italy","Southeastern Europe","Europe",1,NA
"P. cinnamomi","Platanus orientalis","Maryland","Maryland","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Platanus orientalis",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Platanus orientalis",NA,NA,"Southern South America","Southern America",2,NA
"P. cinnamomi","Platanus orientalis",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Platanus racemosa","California","California","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Platanus racemosa",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Platanus × hispanica","Italy","Italy","Southeastern Europe","Europe",6,NA
"P. cinnamomi","Platylobium obtusangulum",NA,NA,"Australia","Australasia",3,NA
"P. cinnamomi","Platysace compressa",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Podocarpus drouynianus",NA,NA,"Australia","Australasia",3,NA
"P. cinnamomi","Podocarpus macrophyllus",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Podocarpus salignus",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Podotheca angustifolia",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Polystichum munitum","California","California","Southwestern U.S.A.","Northern America",2,NA
"P. cinnamomi","Polystichum munitum",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Pomaderris apetala",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Protea aurea",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Protea aurea",NA,NA,"Southern Africa","Africa",6,NA
"P. cinnamomi","Protea burchellii",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Protea caffra",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Protea compacta",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Protea cynaroides",NA,"Hawaii","North-Central Pacific","Pacific",3,NA
"P. cinnamomi","Protea cynaroides",NA,NA,"Southern Africa","Africa",6,NA
"P. cinnamomi","Protea cynaroides",NA,NA,NA,"Northern America",3,NA
"P. cinnamomi","Protea effusa",NA,NA,"Southern Africa","Africa",6,NA
"P. cinnamomi","Protea eximia",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Protea grandiceps",NA,NA,"Southern Africa","Africa",4,NA
"P. cinnamomi","Protea lanceolata",NA,NA,"Southern Africa","Africa",4,NA
"P. cinnamomi","Protea laurifolia",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Protea laurifolia",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Protea lepidocarpodendron",NA,NA,"Southern Africa","Africa",6,NA
"P. cinnamomi","Protea longifolia",NA,NA,"Southern Africa","Africa",4,NA
"P. cinnamomi","Protea lorifolia",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Protea magnifica","Western Cape Province","Cape Provinces","Southern Africa","Africa",2,NA
"P. cinnamomi","Protea magnifica",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Protea magnifica",NA,NA,"Southern Africa","Africa",6,NA
"P. cinnamomi","Protea mundii",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Protea mundii",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Protea nana",NA,NA,"Southern Africa","Africa",4,NA
"P. cinnamomi","Protea neriifolia","California","California","Southwestern U.S.A.","Northern America",2,NA
"P. cinnamomi","Protea neriifolia",NA,NA,"Australia","Australasia",3,NA
"P. cinnamomi","Protea neriifolia",NA,NA,"Southern Africa","Africa",4,NA
"P. cinnamomi","Protea neriifolia",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Protea nitida",NA,NA,"Southern Africa","Africa",8,NA
"P. cinnamomi","Protea obtusifolia","California","California","Southwestern U.S.A.","Northern America",2,NA
"P. cinnamomi","Protea obtusifolia",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Protea obtusifolia",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Protea punctata",NA,NA,"Southern Africa","Africa",4,NA
"P. cinnamomi","Protea reflexa",NA,NA,"Southern Africa","Africa",1,NA
"P. cinnamomi","Protea repens",NA,NA,"Australia","Australasia",3,NA
"P. cinnamomi","Protea repens",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Protea roupelliae",NA,NA,"Southern Africa","Africa",6,NA
"P. cinnamomi","Protea susannae",NA,NA,"Southern Africa","Africa",4,NA
"P. cinnamomi","Prunus americana","California","California","Southwestern U.S.A.","Northern America",2,NA
"P. cinnamomi","Prunus americana",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Prunus americana",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Prunus armeniaca","California","California","Southwestern U.S.A.","Northern America",2,NA
"P. cinnamomi","Prunus armeniaca",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Prunus avium","California","California","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Prunus avium","Spain","Spain","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Prunus avium",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Prunus persica","Mississippi","Mississippi","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Prunus persica",NA,NA,"Australia","Australasia",9,NA
"P. cinnamomi","Prunus persica",NA,NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Prunus persica",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Pseudopanax crassifolius",NA,NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Pseudotsuga menziesii","California","California","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pseudotsuga menziesii","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pseudotsuga menziesii","Oregon","Oregon","Northwestern U.S.A.","Northern America",3,NA
"P. cinnamomi","Pseudotsuga menziesii","Spain","Spain","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Pseudotsuga menziesii","Washington","Washington","Northwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pseudotsuga menziesii",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Pseudotsuga menziesii",NA,NA,"New Zealand","Australasia",26,NA
"P. cinnamomi","Pseudotsuga menziesii",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Psidium cattleianum",NA,"Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Psidium cattleianum",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Psychotria hawaiiensis",NA,"Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Pteris ensiformis","Florida","Florida","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pteris ensiformis",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Pterochaeta paniculata","Western Australia","Western Australia","Australia","Australasia",1,NA
"P. cinnamomi","Pterochaeta paniculata",NA,NA,"Australia","Australasia",4,NA
"P. cinnamomi","Pterophylla racemosa",NA,NA,"New Zealand","Australasia",1,NA
"P. cinnamomi","Pultenaea daphnoides",NA,NA,"Australia","Australasia",4,NA
"P. cinnamomi","Pultenaea gunnii",NA,NA,"Australia","Australasia",3,NA
"P. cinnamomi","Pultenaea humilis",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Pultenaea involucrata",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Pultenaea juniperina",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Pultenaea pedunculata",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Pultenaea reticulata",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Pultenaea stricta",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Pyrus communis","Morocco","Morocco","Northern Africa","Africa",2,NA
"P. cinnamomi","Pyrus communis","Oregon","Oregon","Northwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pyrus communis",NA,NA,"Australia","Australasia",5,NA
"P. cinnamomi","Pyrus communis",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Pyrus communis",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Quercus agrifolia","California","California","Southwestern U.S.A.","Northern America",7,NA
"P. cinnamomi","Quercus agrifolia",NA,NA,NA,"Northern America",5,NA
"P. cinnamomi","Quercus alba","Maryland","Maryland","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Quercus alba","Missouri","Missouri","North-Central U.S.A.","Northern America",1,NA
"P. cinnamomi","Quercus alba","Ohio","Ohio","Northeastern U.S.A.","Northern America",3,NA
"P. cinnamomi","Quercus alba","Pennsylvania","Pennsylvania","Northeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Quercus alba","West Virginia","West Virginia","Northeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Quercus alba",NA,NA,NA,"Northern America",5,NA
"P. cinnamomi","Quercus bicolor",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Quercus cerris","Italy","Italy","Southeastern Europe","Europe",2,NA
"P. cinnamomi","Quercus cerris","Western Cape Province","Cape Provinces","Southern Africa","Africa",1,NA
"P. cinnamomi","Quercus cerris",NA,NA,"New Zealand","Australasia",2,NA
"P. cinnamomi","Quercus cerris",NA,NA,"Southern Africa","Africa",4,NA
"P. cinnamomi","Quercus championii","Taiwan","Taiwan","Eastern Asia","Asia-Temperate",5,NA
"P. cinnamomi","Quercus faginea","Spain","Spain","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Quercus frainetto","Italy","Italy","Southeastern Europe","Europe",4,NA
"P. cinnamomi","Quercus glauca","Taiwan","Taiwan","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Quercus glaucoides",NA,NA,"Mexico","Northern America",2,NA
"P. cinnamomi","Quercus ilex","France","France","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Quercus ilex","Italy","Italy","Southeastern Europe","Europe",8,NA
"P. cinnamomi","Quercus ilex","Portugal","Portugal","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Quercus ilex","Spain","Spain","Southwestern Europe","Europe",25,NA
"P. cinnamomi","Quercus laurifolia","Florida","Florida","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Quercus laurifolia",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Quercus laurina",NA,NA,"Mexico","Northern America",1,NA
"P. cinnamomi","Quercus longinux","Taiwan","Taiwan","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Quercus michauxii",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Quercus montana","Maryland","Maryland","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Quercus montana",NA,NA,NA,"Northern America",3,NA
"P. cinnamomi","Quercus morii","Taiwan","Taiwan","Eastern Asia","Asia-Temperate",4,NA
"P. cinnamomi","Quercus peduncularis",NA,NA,"Mexico","Northern America",2,NA
"P. cinnamomi","Quercus petraea","Turkey","Turkey","Western Asia","Asia-Temperate",2,NA
"P. cinnamomi","Quercus pubescens","Spain","Spain","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Quercus pyrenaica","France","France","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Quercus robur","France","France","Southwestern Europe","Europe",23,NA
"P. cinnamomi","Quercus robur","Portugal","Portugal","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Quercus robur",NA,NA,"New Zealand","Australasia",1,NA
"P. cinnamomi","Quercus robur",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Quercus rubra","France","France","Southwestern Europe","Europe",147,NA
"P. cinnamomi","Quercus rubra","Maryland","Maryland","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Quercus rubra","Spain","Spain","Southwestern Europe","Europe",3,NA
"P. cinnamomi","Quercus rubra","West Virginia","West Virginia","Northeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Quercus rubra",NA,NA,NA,"Northern America",5,NA
"P. cinnamomi","Quercus salicifolia",NA,NA,"Mexico","Northern America",1,NA
"P. cinnamomi","Quercus serrata","Taiwan","Taiwan","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Quercus sessifolia","Taiwan","Taiwan","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Quercus sessilifolia","Taiwan","Taiwan","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Quercus stenophylloides","Taiwan","Taiwan","Eastern Asia","Asia-Temperate",3,NA
"P. cinnamomi","Quercus suber","California","California","Southwestern U.S.A.","Northern America",3,NA
"P. cinnamomi","Quercus suber","France","France","Southwestern Europe","Europe",4,NA
"P. cinnamomi","Quercus suber","Italy","Italy","Southeastern Europe","Europe",7,NA
"P. cinnamomi","Quercus suber","Portugal","Portugal","Southwestern Europe","Europe",20,NA
"P. cinnamomi","Quercus suber","Sardegna","Sardegna","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Quercus suber","Spain","Spain","Southwestern Europe","Europe",13,NA
"P. cinnamomi","Quercus suber",NA,NA,NA,"Northern America",5,NA
"P. cinnamomi","Quercus variabilis","Taiwan","Taiwan","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Quercus velutina",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Rhamnus alaternus","Italy","Italy","Southeastern Europe","Europe",2,NA
"P. cinnamomi","Rhamnus alaternus","Sardegna","Sardegna","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Rhaphiolepis indica",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Rhododendron adenogynum","Czech Republic","Czechoslovakia","Middle Europe","Europe",1,NA
"P. cinnamomi","Rhododendron catawbiense","New Jersey","New Jersey","Northeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron catawbiense","New York","New York","Northeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron catawbiense","Poland","Poland","Middle Europe","Europe",2,NA
"P. cinnamomi","Rhododendron catawbiense",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Rhododendron columbianum",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Rhododendron impeditum","Poland","Poland","Middle Europe","Europe",2,NA
"P. cinnamomi","Rhododendron impeditum","Switzerland","Switzerland","Middle Europe","Europe",1,NA
"P. cinnamomi","Rhododendron indicum",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Rhododendron indicum",NA,NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Rhododendron japonoheptamerum",NA,"Japan","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Rhododendron lapponicum",NA,NA,"China","Asia-Temperate",1,NA
"P. cinnamomi","Rhododendron macrophyllum","Missouri","Missouri","North-Central U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron macrophyllum","New Jersey","New Jersey","Northeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron macrophyllum",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Rhododendron makinoi",NA,"Japan","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Rhododendron maximum",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Rhododendron minus","Maryland","Maryland","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron minus","Missouri","Missouri","North-Central U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron minus","New Jersey","New Jersey","Northeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Rhododendron minus","New York","New York","Northeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron minus",NA,NA,NA,"Northern America",4,NA
"P. cinnamomi","Rhododendron mucronatum","Alabama","Alabama","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron mucronatum","Maryland","Maryland","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron mucronatum","Missouri","Missouri","North-Central U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron mucronatum",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Rhododendron mucronulatum",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Rhododendron occidentale","Oregon","Oregon","Northwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron occidentale",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Rhododendron ponticum","Alabama","Alabama","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron ponticum","Maryland","Maryland","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron ponticum","Missouri","Missouri","North-Central U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron ponticum","New Jersey","New Jersey","Northeastern U.S.A.","Northern America",5,NA
"P. cinnamomi","Rhododendron ponticum","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron ponticum","Oregon","Oregon","Northwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron ponticum",NA,NA,NA,"Northern America",9,NA
"P. cinnamomi","Rhododendron ponticum",NA,NA,NA,NA,1,NA
"P. cinnamomi","Rhododendron pseudochrysanthum",NA,"Japan","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Rhododendron simsii","Germany","Germany","Middle Europe","Europe",6,NA
"P. cinnamomi","Rhododendron tomentosum","Poland","Poland","Middle Europe","Europe",1,NA
"P. cinnamomi","Rhododendron tomentosum",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Rhododendron yakushimanum","Czech Republic","Czechoslovakia","Middle Europe","Europe",3,NA
"P. cinnamomi","Rhododendron yakushimanum",NA,"Japan","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Rhododendron × hybridum","Czech Republic","Czechoslovakia","Middle Europe","Europe",1,NA
"P. cinnamomi","Rhododendron × hybridum",NA,"Japan","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Richardia brasiliensis",NA,"Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Richardia brasiliensis",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Richardia scabra",NA,"Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Richardia scabra",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Ricinocarpos pinifolius",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Ricinus communis",NA,"Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Ricinus communis",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Robinia pseudoacacia","Maryland","Maryland","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Robinia pseudoacacia",NA,NA,"China","Asia-Temperate",4,NA
"P. cinnamomi","Robinia pseudoacacia",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Rubus idaeus","New Zealand South","New Zealand South","New Zealand","Australasia",1,NA
"P. cinnamomi","Rubus idaeus",NA,NA,"Australia","Australasia",3,NA
"P. cinnamomi","Rubus idaeus",NA,NA,"New Zealand","Australasia",11,NA
"P. cinnamomi","Rubus rosifolius",NA,"Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Rubus rosifolius",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Rytidosperma caespitosum",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Salvia officinalis",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Salvia rosmarinus",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Salvia rosmarinus",NA,NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Sarracenia alata","Czech Republic","Czechoslovakia","Middle Europe","Europe",1,NA
"P. cinnamomi","Saxegothaea conspicua",NA,NA,"Southern South America","Southern America",4,NA
"P. cinnamomi","Scaevola albida",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Sciadopitys verticillata","Italy","Italy","Southeastern Europe","Europe",1,NA
"P. cinnamomi","Sciadopitys verticillata","Virginia","Virginia","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Sciadopitys verticillata",NA,NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Senna pleurocarpa",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Sequoia sempervirens","France","France","Southwestern Europe","Europe",2,NA
