"Phytophthora","Host","Level.4","Level.3","Level.2","Level.1","Total","PxH.in.Scotland"
"P. cinnamomi","Chamaecyparis","Taiwan","Taiwan","Eastern Asia","Asia-Temperate",7,"Yes"
"P. cinnamomi","Chamaecyparis",NA,"Japan","Eastern Asia","Asia-Temperate",2,"Yes"
"P. cinnamomi","Chamaecyparis",NA,NA,"Australia","Australasia",13,"Yes"
"P. cinnamomi","Chamaecyparis",NA,NA,"New Zealand","Australasia",7,"Yes"
"P. cinnamomi","Chamaecyparis",NA,NA,"Southern Africa","Africa",3,"Yes"
"P. cinnamomi","Chamaecyparis",NA,NA,NA,"Northern America",6,"Yes"
"P. cinnamomi","Chamaescilla","Western Australia","Western Australia","Australia","Australasia",2,NA
"P. cinnamomi","Chamaescilla",NA,NA,"Australia","Australasia",6,NA
"P. cinnamomi","Chamelaucium",NA,NA,"Australia","Australasia",40,NA
"P. cinnamomi","Cheirodendron",NA,"Hawaii","North-Central Pacific","Pacific",2,NA
"P. cinnamomi","Cheirodendron",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Chorizema",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Chrysanthemum",NA,NA,NA,NA,1,NA
"P. cinnamomi","Cibotium",NA,"Hawaii","North-Central Pacific","Pacific",4,NA
"P. cinnamomi","Cibotium",NA,NA,NA,"Northern America",3,NA
"P. cinnamomi","Cinchona","Guatemala","Guatemala","Central America","Southern America",4,NA
"P. cinnamomi","Cinchona","Peru","Peru","Western South America","Southern America",3,NA
"P. cinnamomi","Cinchona","Spain","Spain","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Cinchona","Taiwan","Taiwan","Eastern Asia","Asia-Temperate",3,NA
"P. cinnamomi","Cinchona","Zaire","Zaire","West-Central Tropical Africa","Africa",1,NA
"P. cinnamomi","Cinchona",NA,"India","Indian Subcontinent","Asia-Tropical",3,NA
"P. cinnamomi","Cinchona",NA,"Japan","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Cinchona",NA,NA,"China","Asia-Temperate",3,NA
"P. cinnamomi","Cinchona",NA,NA,"Malesia","Asia-Tropical",7,NA
"P. cinnamomi","Cinchona",NA,NA,NA,"Asia-Tropical",2,NA
"P. cinnamomi","Cinnamomum","Myanmar","Myanmar","Indo-China","Asia-Tropical",2,NA
"P. cinnamomi","Cinnamomum","Sri Lanka","Sri Lanka","Indian Subcontinent","Asia-Tropical",1,NA
"P. cinnamomi","Cinnamomum","Sumatera","Sumatera","Malesia","Asia-Tropical",1,NA
"P. cinnamomi","Cinnamomum","Taiwan","Taiwan","Eastern Asia","Asia-Temperate",4,NA
"P. cinnamomi","Cinnamomum","Veracruz","Mexico Gulf","Mexico","Northern America",2,NA
"P. cinnamomi","Cinnamomum","Vietnam","Vietnam","Indo-China","Asia-Tropical",16,NA
"P. cinnamomi","Cinnamomum",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Cinnamomum",NA,NA,"China","Asia-Temperate",3,NA
"P. cinnamomi","Cinnamomum",NA,NA,"Malesia","Asia-Tropical",20,NA
"P. cinnamomi","Cinnamomum",NA,NA,NA,"Asia-Tropical",1,NA
"P. cinnamomi","Cissus",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Cistus","Croatia","Yugoslavia","Southeastern Europe","Europe",1,NA
"P. cinnamomi","Cistus","Italy","Italy","Southeastern Europe","Europe",1,NA
"P. cinnamomi","Cistus","Sardegna","Sardegna","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Cistus",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Citrus","California","California","Southwestern U.S.A.","Northern America",3,NA
"P. cinnamomi","Citrus","Italy","Italy","Southeastern Europe","Europe",2,NA
"P. cinnamomi","Citrus","Taiwan","Taiwan","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Citrus",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Citrus",NA,NA,"Brazil","Southern America",4,NA
"P. cinnamomi","Cliffortia",NA,NA,"Southern Africa","Africa",6,NA
"P. cinnamomi","Coccoloba","Netherlands","Netherlands","Middle Europe","Europe",2,NA
"P. cinnamomi","Coleonema",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Coleus",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Colocasia","Fiji","Fiji","Southwestern Pacific","Pacific",4,NA
"P. cinnamomi","Comptonia","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Comptonia",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Conostephium",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Conostylis",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Coprosma",NA,"Hawaii","North-Central Pacific","Pacific",2,NA
"P. cinnamomi","Coprosma",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Coprosma",NA,NA,"New Zealand","Australasia",5,NA
"P. cinnamomi","Coprosma",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Coriaria",NA,NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Cornus","Florida","Florida","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Cornus","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Cornus",NA,NA,NA,"Northern America",5,NA
"P. cinnamomi","Corokia",NA,NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Correa",NA,NA,"Australia","Australasia",8,NA
"P. cinnamomi","Corymbia",NA,"Hawaii","North-Central Pacific","Pacific",2,NA
"P. cinnamomi","Corymbia",NA,NA,"Australia","Australasia",44,NA
"P. cinnamomi","Corymbia",NA,NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Corymbia",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Corymbia",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Cotoneaster","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Cotoneaster",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Couroupita","Netherlands","Netherlands","Middle Europe","Europe",2,NA
"P. cinnamomi","Crassula",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Cryptomeria","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Cryptomeria",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Cryptomeria",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Cucumis","California","California","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Cucurbita","New Zealand North","New Zealand North","New Zealand","Australasia",1,NA
"P. cinnamomi","Cucurbita",NA,NA,"New Zealand","Australasia",1,NA
"P. cinnamomi","Cupressus","California","California","Southwestern U.S.A.","Northern America",2,NA
"P. cinnamomi","Cupressus","Florida","Florida","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Cupressus","Spain","Spain","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Cupressus",NA,NA,"Australia","Australasia",3,NA
"P. cinnamomi","Cupressus",NA,NA,"New Zealand","Australasia",1,NA
"P. cinnamomi","Cupressus",NA,NA,"Southern South America","Southern America",2,NA
"P. cinnamomi","Cupressus",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Curcuma","Taiwan","Taiwan","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Curtisia",NA,NA,"Southern Africa","Africa",2,NA
"P. cinnamomi","Cyathodes",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Cyclamen",NA,NA,"New Zealand","Australasia",2,NA
"P. cinnamomi","Cyrilla",NA,NA,NA,"Northern America",1,NA
