"Phytophthora","Host","Level.2","Level.1","Total","PxH.in.Scotland"
"P. cinnamomi","Lissanthe strigosa","Australia","Australasia",2,NA
"P. cinnamomi","Litchi chinensis","Australia","Australasia",3,NA
"P. cinnamomi","Lithocarpus shinsuiensis","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Lithocarpus uraianus","Eastern Asia","Asia-Temperate",3,NA
"P. cinnamomi","Litsea calicaris","New Zealand","Australasia",1,NA
"P. cinnamomi","Lophomyrtus obcordata","New Zealand","Australasia",4,NA
"P. cinnamomi","Lophostemon confertus","Australia","Australasia",3,NA
"P. cinnamomi","Lophostemon confertus","New Zealand","Australasia",1,NA
"P. cinnamomi","Luma apiculata","Southern South America","Southern America",3,NA
"P. cinnamomi","Lupinus angustifolius","New Zealand","Australasia",4,NA
"P. cinnamomi","Lupinus digitatus","Australia","Australasia",2,NA
"P. cinnamomi","Lycopodium deuterodensum","Australia","Australasia",2,NA
"P. cinnamomi","Lycopodium deuterodensum","New Zealand","Australasia",4,NA
"P. cinnamomi","Macadamia integrifolia","Australia","Australasia",1,NA
"P. cinnamomi","Macadamia integrifolia","New Zealand","Australasia",4,NA
"P. cinnamomi","Macadamia integrifolia","North-Central Pacific","Pacific",2,NA
"P. cinnamomi","Macadamia integrifolia","Southwestern U.S.A.","Northern America",3,NA
"P. cinnamomi","Macadamia integrifolia",NA,"Northern America",3,NA
"P. cinnamomi","Macadamia tetraphylla","Australia","Australasia",1,NA
"P. cinnamomi","Macadamia tetraphylla","New Zealand","Australasia",4,NA
"P. cinnamomi","Macadamia tetraphylla","Southwestern U.S.A.","Northern America",2,NA
"P. cinnamomi","Macadamia tetraphylla",NA,"Northern America",2,NA
"P. cinnamomi","Machilus japonicus","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Machilus thunbergii","Eastern Asia","Asia-Temperate",3,NA
"P. cinnamomi","Macrozamia communis","Australia","Australasia",2,NA
"P. cinnamomi","Macrozamia reidlei","Australia","Australasia",1,NA
"P. cinnamomi","Macrozamia riedlei","Australia","Australasia",1,NA
"P. cinnamomi","Magnolia grandiflora","Australia","Australasia",1,NA
"P. cinnamomi","Magnolia grandiflora","New Zealand","Australasia",1,NA
"P. cinnamomi","Magnolia grandiflora","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Magnolia laevifolia","New Zealand","Australasia",1,NA
"P. cinnamomi","Melaleuca deanei","Australia","Australasia",1,NA
"P. cinnamomi","Melaleuca gibbosa","Australia","Australasia",4,NA
"P. cinnamomi","Melaleuca hypericifolia","Australia","Australasia",3,NA
"P. cinnamomi","Melaleuca lanceolata","Australia","Australasia",1,NA
"P. cinnamomi","Melaleuca pulcherrima","Australia","Australasia",2,NA
"P. cinnamomi","Melaleuca quadrifida","Australia","Australasia",2,NA
"P. cinnamomi","Melaleuca scabra","Australia","Australasia",2,NA
"P. cinnamomi","Melaleuca sparsa","Australia","Australasia",2,NA
"P. cinnamomi","Melaleuca squamea","Australia","Australasia",2,NA
"P. cinnamomi","Melaleuca squarrosa","Australia","Australasia",3,NA
"P. cinnamomi","Melaleuca styphelioides","Australia","Australasia",2,NA
"P. cinnamomi","Melanopsidium nigrum","Central America","Southern America",1,NA
"P. cinnamomi","Melanopsidium nigrum","China","Asia-Temperate",1,NA
"P. cinnamomi","Melanopsidium nigrum","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Melastoma malabathricum","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Melastoma malabathricum",NA,"Northern America",1,NA
"P. cinnamomi","Melicytus macrophyllus","New Zealand","Australasia",4,NA
"P. cinnamomi","Meryta sinclairii","New Zealand","Australasia",4,NA
"P. cinnamomi","Metrosideros excelsa","Australia","Australasia",3,NA
"P. cinnamomi","Metrosideros excelsa","New Zealand","Australasia",5,NA
"P. cinnamomi","Metrosideros polymorpha","North-Central Pacific","Pacific",4,NA
"P. cinnamomi","Microbiota decussata","Middle Europe","Europe",2,NA
"P. cinnamomi","Micromyrtus ciliata","Australia","Australasia",2,NA
"P. cinnamomi","Mimetes argenteus","Southern Africa","Africa",2,NA
"P. cinnamomi","Mimetes cucullatus","Southern Africa","Africa",2,NA
"P. cinnamomi","Mimetes hottentoticus","Southern Africa","Africa",2,NA
"P. cinnamomi","Mimetes splendidus","Southern Africa","Africa",2,NA
"P. cinnamomi","Mirbelia dilatata","Australia","Australasia",2,NA
"P. cinnamomi","Mitrasacme pilosa","Australia","Australasia",1,NA
"P. cinnamomi","Monotoca elliptica","Australia","Australasia",1,NA
"P. cinnamomi","Monotoca glauca","Australia","Australasia",4,NA
"P. cinnamomi","Mucuna gigantea","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Mucuna gigantea",NA,"Northern America",1,NA
"P. cinnamomi","Myrsine australis","New Zealand","Australasia",5,NA
"P. cinnamomi","Myrsine lessertiana","North-Central Pacific","Pacific",2,NA
"P. cinnamomi","Myrsine lessertiana",NA,"Northern America",2,NA
"P. cinnamomi","Myrtus communis","Southeastern Europe","Europe",4,NA
"P. cinnamomi","Nematolepis squamea","Australia","Australasia",3,NA
"P. cinnamomi","Neopanax arboreus","New Zealand","Australasia",4,NA
"P. cinnamomi","Nestegis lanceolata","New Zealand","Australasia",4,NA
"P. cinnamomi","Nothofagus alessandrii","Australia","Australasia",2,NA
"P. cinnamomi","Nothofagus alpina","Australia","Australasia",3,NA
"P. cinnamomi","Nothofagus cliffortioides","New Zealand","Australasia",3,NA
"P. cinnamomi","Nothofagus cunninghamii","Australia","Australasia",5,NA
"P. cinnamomi","Nothofagus dombeyi","Southern South America","Southern America",3,NA
"P. cinnamomi","Nothofagus fusca","New Zealand","Australasia",11,NA
"P. cinnamomi","Nothofagus glauca","Australia","Australasia",2,NA
"P. cinnamomi","Nothofagus gunnii","Australia","Australasia",1,NA
"P. cinnamomi","Nothofagus menziesii","New Zealand","Australasia",7,NA
"P. cinnamomi","Nothofagus obliqua","Australia","Australasia",1,NA
"P. cinnamomi","Nothofagus obliqua","New Zealand","Australasia",1,NA
"P. cinnamomi","Nothofagus solandri","New Zealand","Australasia",2,NA
"P. cinnamomi","Nothofagus × leoni","Australia","Australasia",1,NA
"P. cinnamomi","Notholithocarpus densiflorus","Northwestern U.S.A.","Northern America",3,NA
"P. cinnamomi","Notholithocarpus densiflorus","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Notholithocarpus densiflorus",NA,"Northern America",4,NA
"P. cinnamomi","Nymania capensis","Southern Africa","Africa",2,NA
"P. cinnamomi","Ocotea bullata","Southern Africa","Africa",2,NA
"P. cinnamomi","Ocotea floribunda","Western South America","Southern America",2,NA
"P. cinnamomi","Ocotea sinuata","Central America","Southern America",2,NA
"P. cinnamomi","Olea europaea","Australia","Australasia",2,NA
"P. cinnamomi","Olea europaea","Southeastern Europe","Europe",1,NA
"P. cinnamomi","Olearia oppositifolia","Australia","Australasia",2,NA
"P. cinnamomi","Olearia rani","New Zealand","Australasia",4,NA
"P. cinnamomi","Orothamnus zeyheri","Southern Africa","Africa",6,NA
"P. cinnamomi","Oxylobium arborescens","Australia","Australasia",2,NA
"P. cinnamomi","Oxylobium ellipticum","Australia","Australasia",3,NA
"P. cinnamomi","Panax ginseng","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Pandorea jasminoides","Australia","Australasia",1,NA
"P. cinnamomi","Paranomus reflexus","Southern Africa","Africa",4,NA
"P. cinnamomi","Passiflora edulis","Australia","Australasia",3,NA
"P. cinnamomi","Passiflora edulis","Brazil","Southern America",1,NA
"P. cinnamomi","Passiflora edulis","New Zealand","Australasia",6,NA
"P. cinnamomi","Passiflora edulis","Southwestern Pacific","Pacific",2,NA
"P. cinnamomi","Patersonia occidentalis","Australia","Australasia",2,NA
"P. cinnamomi","Pectinopitys ferruginea","New Zealand","Australasia",4,NA
"P. cinnamomi","Pentameris airoides","Australia","Australasia",2,NA
"P. cinnamomi","Pericallis cruenta","New Zealand","Australasia",2,"Yes"
"P. cinnamomi","Pericalymma ellipticum","Australia","Australasia",2,NA
"P. cinnamomi","Perrottetia sandwicensis","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Perrottetia sandwicensis",NA,"Northern America",1,NA
"P. cinnamomi","Persea americana","Australia","Australasia",131,NA
"P. cinnamomi","Persea americana","Brazil","Southern America",4,NA
"P. cinnamomi","Persea americana","Caribbean","Southern America",16,NA
"P. cinnamomi","Persea americana","Central America","Southern America",12,NA
"P. cinnamomi","Persea americana","China","Asia-Temperate",1,NA
"P. cinnamomi","Persea americana","Eastern Asia","Asia-Temperate",4,NA
"P. cinnamomi","Persea americana","Macaronesia","Africa",1,NA
"P. cinnamomi","Persea americana","Malesia","Asia-Tropical",4,NA
"P. cinnamomi","Persea americana","Mexico","Northern America",5,NA
"P. cinnamomi","Persea americana","New Zealand","Australasia",7,NA
"P. cinnamomi","Persea americana","North-Central Pacific","Pacific",3,NA
"P. cinnamomi","Persea americana","Northern South America","Southern America",2,NA
"P. cinnamomi","Persea americana","Papuasia","Asia-Tropical",4,NA
"P. cinnamomi","Persea americana","South Tropical Africa","Africa",3,NA
"P. cinnamomi","Persea americana","Southeastern Europe","Europe",4,NA
"P. cinnamomi","Persea americana","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Persea americana","Southern Africa","Africa",8,NA
"P. cinnamomi","Persea americana","Southern South America","Southern America",12,NA
"P. cinnamomi","Persea americana","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Persea americana","Southwestern Pacific","Pacific",2,NA
"P. cinnamomi","Persea americana","Southwestern U.S.A.","Northern America",12,NA
"P. cinnamomi","Persea americana","Western Asia","Asia-Temperate",4,NA
"P. cinnamomi","Persea americana","Western Indian Ocean","Africa",1,NA
"P. cinnamomi","Persea americana","Western South America","Southern America",114,NA
"P. cinnamomi","Persea americana",NA,"Northern America",9,NA
"P. cinnamomi","Persea americana",NA,"Southern America",1,NA
"P. cinnamomi","Persea americana",NA,NA,1,NA
"P. cinnamomi","Persea borbonia","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Persea borbonia",NA,"Northern America",1,NA
"P. cinnamomi","Persea schiedeana","Mexico","Northern America",4,NA
"P. cinnamomi","Persoonia juniperina","Australia","Australasia",1,NA
"P. cinnamomi","Persoonia longifolia","Australia","Australasia",2,NA
"P. cinnamomi","Petrophile biloba","Australia","Australasia",2,NA
"P. cinnamomi","Petrophile divaricata","Australia","Australasia",2,NA
"P. cinnamomi","Petrophile linearis","Australia","Australasia",1,NA
"P. cinnamomi","Petrophile serruriae","Australia","Australasia",2,NA
"P. cinnamomi","Philotheca virgata","Australia","Australasia",1,NA
"P. cinnamomi","Phormium tenax","New Zealand","Australasia",4,NA
"P. cinnamomi","Phyllocladus trichomanoides","New Zealand","Australasia",7,NA
"P. cinnamomi","Picea abies","Southeastern U.S.A.","Northern America",4,NA
"P. cinnamomi","Picea abies",NA,"Northern America",5,NA
"P. cinnamomi","Picea pungens","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Picea pungens",NA,"Northern America",4,NA
"P. cinnamomi","Pieris floribunda","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pieris floribunda",NA,"Northern America",1,NA
"P. cinnamomi","Pieris japonica","Australia","Australasia",4,NA
"P. cinnamomi","Pieris japonica","Middle Europe","Europe",1,NA
"P. cinnamomi","Pieris japonica","New Zealand","Australasia",6,NA
"P. cinnamomi","Pieris japonica","Northwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pieris japonica","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Pieris japonica",NA,"Northern America",3,NA
"P. cinnamomi","Pimelea ferruginea","Australia","Australasia",5,NA
"P. cinnamomi","Pimelea humilis","Australia","Australasia",2,NA
"P. cinnamomi","Pimelea rosea","Australia","Australasia",1,NA
"P. cinnamomi","Pinus brutia","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Pinus canariensis","Southwestern U.S.A.","Northern America",2,NA
"P. cinnamomi","Pinus canariensis",NA,"Northern America",2,NA
"P. cinnamomi","Pinus caribaea","Australia","Australasia",2,NA
"P. cinnamomi","Pinus caribaea","Malesia","Asia-Tropical",1,NA
"P. cinnamomi","Pinus clausa","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pinus clausa","Southern Africa","Africa",2,NA
"P. cinnamomi","Pinus clausa",NA,"Northern America",1,NA
"P. cinnamomi","Pinus echinata","New Zealand","Australasia",3,NA
"P. cinnamomi","Pinus echinata","Southeastern U.S.A.","Northern America",4,NA
"P. cinnamomi","Pinus echinata",NA,"Northern America",1,NA
"P. cinnamomi","Pinus elliottii","Australia","Australasia",2,NA
"P. cinnamomi","Pinus elliottii","Southern Africa","Africa",2,NA
"P. cinnamomi","Pinus elliottii","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Pinus halepensis","Southern Africa","Africa",2,NA
"P. cinnamomi","Pinus kesiya","Australia","Australasia",1,NA
"P. cinnamomi","Pinus kesiya","New Zealand","Australasia",3,NA
"P. cinnamomi","Pinus kesiya",NA,"Northern America",1,NA
"P. cinnamomi","Pinus lambertiana","New Zealand","Australasia",1,NA
"P. cinnamomi","Pinus monticola","New Zealand","Australasia",1,NA
"P. cinnamomi","Pinus mugo","Middle Europe","Europe",2,NA
"P. cinnamomi","Pinus mugo","New Zealand","Australasia",3,NA
"P. cinnamomi","Pinus mugo","Southeastern Europe","Europe",1,NA
"P. cinnamomi","Pinus mugo","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pinus mugo",NA,"Northern America",5,NA
"P. cinnamomi","Pinus nigra","Middle Europe","Europe",4,NA
"P. cinnamomi","Pinus occidentalis","Caribbean","Southern America",2,NA
"P. cinnamomi","Pinus palustris","New Zealand","Australasia",6,NA
"P. cinnamomi","Pinus patula","Australia","Australasia",2,NA
"P. cinnamomi","Pinus patula","Brazil","Southern America",1,NA
"P. cinnamomi","Pinus patula","Southern Africa","Africa",2,NA
"P. cinnamomi","Pinus pinaster","Australia","Australasia",3,NA
"P. cinnamomi","Pinus pinaster","Southern Africa","Africa",2,NA
"P. cinnamomi","Pinus pinea","Southeastern Europe","Europe",5,NA
"P. cinnamomi","Pinus radiata","Australia","Australasia",29,NA
"P. cinnamomi","Pinus radiata","New Zealand","Australasia",117,NA
"P. cinnamomi","Pinus radiata","Southern Africa","Africa",4,NA
"P. cinnamomi","Pinus radiata","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Pinus radiata","Southwestern U.S.A.","Northern America",4,NA
"P. cinnamomi","Pinus resinosa","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Pinus resinosa",NA,"Northern America",3,NA
"P. cinnamomi","Pinus strobus","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Pinus strobus",NA,"Northern America",2,NA
"P. cinnamomi","Pinus sylvestris","Middle Europe","Europe",1,NA
"P. cinnamomi","Pinus sylvestris","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Pinus sylvestris","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Pinus sylvestris",NA,"Northern America",3,NA
"P. cinnamomi","Pinus taeda","Australia","Australasia",1,NA
"P. cinnamomi","Pinus taeda","New Zealand","Australasia",3,NA
"P. cinnamomi","Pinus taeda","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Pinus taeda",NA,"Northern America",1,NA
"P. cinnamomi","Pinus wallichiana","Middle Europe","Europe",3,NA
"P. cinnamomi","Piper excelsum","New Zealand","Australasia",1,NA
"P. cinnamomi","Pipturus albidus","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Pipturus albidus",NA,"Northern America",1,NA
"P. cinnamomi","Pistacia lentiscus","Southeastern Europe","Europe",1,NA
"P. cinnamomi","Platanus orientalis","Australia","Australasia",1,NA
"P. cinnamomi","Platanus orientalis","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Platanus orientalis","Southern South America","Southern America",2,NA
"P. cinnamomi","Platanus orientalis",NA,"Northern America",2,NA
"P. cinnamomi","Platanus racemosa","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Platanus racemosa",NA,"Northern America",1,NA
"P. cinnamomi","Platanus × hispanica","Southeastern Europe","Europe",6,NA
"P. cinnamomi","Platylobium obtusangulum","Australia","Australasia",3,NA
"P. cinnamomi","Platysace compressa","Australia","Australasia",2,NA
"P. cinnamomi","Podocarpus drouynianus","Australia","Australasia",3,NA
"P. cinnamomi","Podocarpus macrophyllus","Australia","Australasia",1,NA
"P. cinnamomi","Podocarpus salignus","Australia","Australasia",1,NA
"P. cinnamomi","Podotheca angustifolia","Australia","Australasia",2,NA
"P. cinnamomi","Polystichum munitum","Southwestern U.S.A.","Northern America",2,NA
"P. cinnamomi","Polystichum munitum",NA,"Northern America",2,NA
"P. cinnamomi","Pomaderris apetala","Australia","Australasia",2,NA
"P. cinnamomi","Protea aurea","Australia","Australasia",2,NA
"P. cinnamomi","Protea aurea","Southern Africa","Africa",6,NA
"P. cinnamomi","Protea burchellii","Southern Africa","Africa",2,NA
"P. cinnamomi","Protea caffra","Southern Africa","Africa",2,NA
"P. cinnamomi","Protea compacta","Southern Africa","Africa",2,NA
"P. cinnamomi","Protea cynaroides","North-Central Pacific","Pacific",3,NA
"P. cinnamomi","Protea cynaroides","Southern Africa","Africa",6,NA
"P. cinnamomi","Protea cynaroides",NA,"Northern America",3,NA
"P. cinnamomi","Protea effusa","Southern Africa","Africa",6,NA
"P. cinnamomi","Protea eximia","Southern Africa","Africa",2,NA
"P. cinnamomi","Protea grandiceps","Southern Africa","Africa",4,NA
"P. cinnamomi","Protea lanceolata","Southern Africa","Africa",4,NA
"P. cinnamomi","Protea laurifolia","Australia","Australasia",2,NA
"P. cinnamomi","Protea laurifolia","Southern Africa","Africa",2,NA
"P. cinnamomi","Protea lepidocarpodendron","Southern Africa","Africa",6,NA
"P. cinnamomi","Protea longifolia","Southern Africa","Africa",4,NA
"P. cinnamomi","Protea lorifolia","Southern Africa","Africa",2,NA
"P. cinnamomi","Protea magnifica","Australia","Australasia",2,NA
"P. cinnamomi","Protea magnifica","Southern Africa","Africa",8,NA
"P. cinnamomi","Protea mundii","Australia","Australasia",2,NA
"P. cinnamomi","Protea mundii","Southern Africa","Africa",2,NA
"P. cinnamomi","Protea nana","Southern Africa","Africa",4,NA
"P. cinnamomi","Protea neriifolia","Australia","Australasia",3,NA
"P. cinnamomi","Protea neriifolia","Southern Africa","Africa",4,NA
"P. cinnamomi","Protea neriifolia","Southwestern U.S.A.","Northern America",2,NA
"P. cinnamomi","Protea neriifolia",NA,"Northern America",2,NA
"P. cinnamomi","Protea nitida","Southern Africa","Africa",8,NA
"P. cinnamomi","Protea obtusifolia","Southern Africa","Africa",2,NA
"P. cinnamomi","Protea obtusifolia","Southwestern U.S.A.","Northern America",2,NA
"P. cinnamomi","Protea obtusifolia",NA,"Northern America",2,NA
"P. cinnamomi","Protea punctata","Southern Africa","Africa",4,NA
"P. cinnamomi","Protea reflexa","Southern Africa","Africa",1,NA
"P. cinnamomi","Protea repens","Australia","Australasia",3,NA
"P. cinnamomi","Protea repens","Southern Africa","Africa",2,NA
"P. cinnamomi","Protea roupelliae","Southern Africa","Africa",6,NA
"P. cinnamomi","Protea susannae","Southern Africa","Africa",4,NA
"P. cinnamomi","Prunus americana","Australia","Australasia",1,NA
"P. cinnamomi","Prunus americana","Southwestern U.S.A.","Northern America",2,NA
"P. cinnamomi","Prunus americana",NA,"Northern America",2,NA
"P. cinnamomi","Prunus armeniaca","Australia","Australasia",2,NA
"P. cinnamomi","Prunus armeniaca","Southwestern U.S.A.","Northern America",2,NA
"P. cinnamomi","Prunus avium","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Prunus avium","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Prunus avium",NA,"Northern America",1,NA
"P. cinnamomi","Prunus persica","Australia","Australasia",9,NA
"P. cinnamomi","Prunus persica","New Zealand","Australasia",4,NA
"P. cinnamomi","Prunus persica","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Prunus persica","Southern Africa","Africa",2,NA
"P. cinnamomi","Pseudopanax crassifolius","New Zealand","Australasia",4,NA
"P. cinnamomi","Pseudotsuga menziesii","Australia","Australasia",2,NA
"P. cinnamomi","Pseudotsuga menziesii","New Zealand","Australasia",26,NA
"P. cinnamomi","Pseudotsuga menziesii","Northwestern U.S.A.","Northern America",4,NA
"P. cinnamomi","Pseudotsuga menziesii","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pseudotsuga menziesii","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Pseudotsuga menziesii","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pseudotsuga menziesii",NA,"Northern America",1,NA
"P. cinnamomi","Psidium cattleianum","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Psidium cattleianum",NA,"Northern America",1,NA
"P. cinnamomi","Psychotria hawaiiensis","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Pteris ensiformis","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pteris ensiformis",NA,"Northern America",1,NA
"P. cinnamomi","Pterochaeta paniculata","Australia","Australasia",5,NA
"P. cinnamomi","Pterophylla racemosa","New Zealand","Australasia",1,NA
"P. cinnamomi","Pultenaea daphnoides","Australia","Australasia",4,NA
"P. cinnamomi","Pultenaea gunnii","Australia","Australasia",3,NA
"P. cinnamomi","Pultenaea humilis","Australia","Australasia",2,NA
"P. cinnamomi","Pultenaea involucrata","Australia","Australasia",2,NA
"P. cinnamomi","Pultenaea juniperina","Australia","Australasia",1,NA
"P. cinnamomi","Pultenaea pedunculata","Australia","Australasia",2,NA
"P. cinnamomi","Pultenaea reticulata","Australia","Australasia",2,NA
"P. cinnamomi","Pultenaea stricta","Australia","Australasia",1,NA
"P. cinnamomi","Pyrus communis","Australia","Australasia",5,NA
"P. cinnamomi","Pyrus communis","Northern Africa","Africa",2,NA
"P. cinnamomi","Pyrus communis","Northwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Pyrus communis","Southern Africa","Africa",2,NA
"P. cinnamomi","Pyrus communis",NA,"Northern America",2,NA
"P. cinnamomi","Quercus agrifolia","Southwestern U.S.A.","Northern America",7,NA
"P. cinnamomi","Quercus agrifolia",NA,"Northern America",5,NA
"P. cinnamomi","Quercus alba","North-Central U.S.A.","Northern America",1,NA
"P. cinnamomi","Quercus alba","Northeastern U.S.A.","Northern America",5,NA
"P. cinnamomi","Quercus alba","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Quercus alba",NA,"Northern America",5,NA
"P. cinnamomi","Quercus bicolor",NA,"Northern America",1,NA
"P. cinnamomi","Quercus cerris","New Zealand","Australasia",2,NA
"P. cinnamomi","Quercus cerris","Southeastern Europe","Europe",2,NA
"P. cinnamomi","Quercus cerris","Southern Africa","Africa",5,NA
"P. cinnamomi","Quercus championii","Eastern Asia","Asia-Temperate",5,NA
"P. cinnamomi","Quercus faginea","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Quercus frainetto","Southeastern Europe","Europe",4,NA
"P. cinnamomi","Quercus glauca","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Quercus glaucoides","Mexico","Northern America",2,NA
"P. cinnamomi","Quercus ilex","Southeastern Europe","Europe",8,NA
"P. cinnamomi","Quercus ilex","Southwestern Europe","Europe",29,NA
"P. cinnamomi","Quercus laurifolia","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Quercus laurifolia",NA,"Northern America",2,NA
"P. cinnamomi","Quercus laurina","Mexico","Northern America",1,NA
"P. cinnamomi","Quercus longinux","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Quercus michauxii",NA,"Northern America",2,NA
"P. cinnamomi","Quercus montana","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Quercus montana",NA,"Northern America",3,NA
"P. cinnamomi","Quercus morii","Eastern Asia","Asia-Temperate",4,NA
"P. cinnamomi","Quercus peduncularis","Mexico","Northern America",2,NA
"P. cinnamomi","Quercus petraea","Western Asia","Asia-Temperate",2,NA
"P. cinnamomi","Quercus pubescens","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Quercus pyrenaica","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Quercus robur","New Zealand","Australasia",1,NA
"P. cinnamomi","Quercus robur","Southwestern Europe","Europe",24,NA
"P. cinnamomi","Quercus robur",NA,"Northern America",2,NA
"P. cinnamomi","Quercus rubra","Northeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Quercus rubra","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Quercus rubra","Southwestern Europe","Europe",150,NA
"P. cinnamomi","Quercus rubra",NA,"Northern America",5,NA
"P. cinnamomi","Quercus salicifolia","Mexico","Northern America",1,NA
"P. cinnamomi","Quercus serrata","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Quercus sessifolia","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Quercus sessilifolia","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Quercus stenophylloides","Eastern Asia","Asia-Temperate",3,NA
"P. cinnamomi","Quercus suber","Southeastern Europe","Europe",7,NA
"P. cinnamomi","Quercus suber","Southwestern Europe","Europe",38,NA
"P. cinnamomi","Quercus suber","Southwestern U.S.A.","Northern America",3,NA
"P. cinnamomi","Quercus suber",NA,"Northern America",5,NA
"P. cinnamomi","Quercus variabilis","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Quercus velutina",NA,"Northern America",1,NA
"P. cinnamomi","Rhamnus alaternus","Southeastern Europe","Europe",2,NA
"P. cinnamomi","Rhamnus alaternus","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Rhaphiolepis indica","Australia","Australasia",2,NA
"P. cinnamomi","Rhododendron adenogynum","Middle Europe","Europe",1,NA
"P. cinnamomi","Rhododendron catawbiense","Middle Europe","Europe",2,NA
"P. cinnamomi","Rhododendron catawbiense","Northeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Rhododendron catawbiense",NA,"Northern America",2,NA
"P. cinnamomi","Rhododendron columbianum","Australia","Australasia",1,NA
"P. cinnamomi","Rhododendron impeditum","Middle Europe","Europe",3,NA
"P. cinnamomi","Rhododendron indicum","Australia","Australasia",1,NA
"P. cinnamomi","Rhododendron indicum","New Zealand","Australasia",4,NA
"P. cinnamomi","Rhododendron japonoheptamerum","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Rhododendron lapponicum","China","Asia-Temperate",1,NA
"P. cinnamomi","Rhododendron macrophyllum","North-Central U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron macrophyllum","Northeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron macrophyllum",NA,"Northern America",2,NA
"P. cinnamomi","Rhododendron makinoi","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Rhododendron maximum",NA,"Northern America",1,NA
"P. cinnamomi","Rhododendron minus","North-Central U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron minus","Northeastern U.S.A.","Northern America",3,NA
"P. cinnamomi","Rhododendron minus","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron minus",NA,"Northern America",4,NA
"P. cinnamomi","Rhododendron mucronatum","North-Central U.S.A.","Northern America",1,NA
"P. cinnamomi","Rhododendron mucronatum","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Rhododendron mucronatum",NA,"Northern America",1,NA
"P. cinnamomi","Rhododendron mucronulatum",NA,"Northern America",2,NA
"P. cinnamomi","Rhododendron occidentale","Northwestern U.S.A.","Northern America",1,NA
