"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown","PxH in Scotland?"
"P. cinnamomi","Proteaceae",5,NA,3,2,NA
"P. cinnamomi","Rosaceae",20,3,9,8,"Yes"
"P. cinnamomi","Rutaceae",4,1,2,1,NA
"P. cinnamomi","Salicaceae",2,NA,NA,2,NA
"P. cinnamomi","Sapindaceae",2,NA,NA,2,NA
"P. cinnamomi","Taxaceae",129,16,111,2,"Yes"
"P. cinnamomi","Theaceae",8,6,1,1,NA
"P. cinnamomi","Viburnaceae",7,1,5,1,NA
"P. cinnamomi","Winteraceae",1,1,NA,NA,"Yes"
"P. kernoviae","Berberidaceae",1,NA,1,NA,NA
"P. kernoviae","Cupressaceae",1,NA,1,NA,NA
"P. kernoviae","Ericaceae",734,34,688,28,"Yes"
"P. kernoviae","Fagaceae",16,NA,6,10,"Yes"
"P. kernoviae","Magnoliaceae",19,6,10,3,"Yes"
"P. kernoviae","Myrtaceae",1,NA,1,NA,NA
"P. kernoviae","Rosaceae",1,1,NA,NA,NA
"P. kernoviae","Sapindaceae",1,NA,1,NA,NA
"P. kernoviae","Theaceae",3,1,2,NA,NA
"P. kernoviae","Winteraceae",58,4,53,4,NA
"P. pluvialis","Pinaceae",33,NA,32,1,"Yes"
"P. pseudosyringae","Aquifoliaceae",1,NA,1,NA,NA
"P. pseudosyringae","Betulaceae",2,2,NA,NA,"Yes"
"P. pseudosyringae","Ericaceae",59,4,48,7,"Yes"
"P. pseudosyringae","Fagaceae",22,NA,7,15,"Yes"
"P. pseudosyringae","Magnoliaceae",3,NA,3,NA,"Yes"
"P. pseudosyringae","Malvaceae",1,NA,NA,1,NA
"P. pseudosyringae","Nothofagaceae",23,NA,3,20,"Yes"
"P. pseudosyringae","Pinaceae",3,NA,3,NA,"Yes"
"P. pseudosyringae","Plantaginaceae",1,1,NA,NA,NA
"P. pseudosyringae","Sapindaceae",2,NA,NA,2,"Yes"
"P. ramorum","Aquifoliaceae",10,3,7,NA,NA
"P. ramorum","Berberidaceae",1,1,1,NA,NA
"P. ramorum","Betulaceae",1,NA,NA,1,NA
"P. ramorum","Buxaceae",2,NA,NA,2,NA
"P. ramorum","Celastraceae",1,1,1,NA,NA
"P. ramorum","Cephalotaxaceae",1,NA,NA,1,NA
"P. ramorum","Cornaceae",18,3,17,NA,NA
"P. ramorum","Cupressaceae",10,NA,4,6,"Yes"
"P. ramorum","Elaeagnaceae",1,NA,1,NA,NA
"P. ramorum","Ericaceae",4941,1068,3982,155,"Yes"
"P. ramorum","Fagaceae",167,24,123,38,"Yes"
"P. ramorum","Garryaceae",9,2,7,NA,"Yes"
"P. ramorum","Griseliniaceae",4,NA,1,3,NA
"P. ramorum","Grossulariaceae",2,1,1,NA,NA
"P. ramorum","Hamamelidaceae",46,10,28,12,NA
"P. ramorum","Lauraceae",7,5,4,NA,NA
"P. ramorum","Magnoliaceae",317,152,220,12,"Yes"
"P. ramorum","Nothofagaceae",5,NA,1,4,"Yes"
"P. ramorum","Oleaceae",21,8,5,9,"Yes"
"P. ramorum","Pinaceae",4102,2,4085,16,"Yes"
"P. ramorum","Pittosporaceae",1,1,NA,NA,NA
"P. ramorum","Platanaceae",1,NA,1,NA,NA
"P. ramorum","Polypodiaceae",1,NA,1,NA,NA
"P. ramorum","Rosaceae",22,6,14,4,NA
"P. ramorum","Rutaceae",3,3,NA,NA,NA
"P. ramorum","Santalaceae",1,NA,1,NA,NA
"P. ramorum","Sapindaceae",11,NA,5,6,NA
"P. ramorum","Taxaceae",3,1,1,1,NA
"P. ramorum","Theaceae",199,135,49,19,NA
"P. ramorum","Thymelaeaceae",1,1,1,NA,NA
"P. ramorum","Viburnaceae",478,264,154,83,"Yes"
"P. ramorum","Winteraceae",8,1,5,2,NA
